date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,PICTON,diesel,82.5,84.6,88.5,82.5,3
2002-01-02,PICTON,diesel,82.5,84.6,88.5,82.5,3
2002-01-03,PICTON,diesel,83.5,85.2,88.5,83.5,3
2002-01-04,PICTON,diesel,83.5,85.2,88.5,83.5,3
2002-01-05,PICTON,diesel,83.5,85.2,88.5,83.5,3
2002-01-06,PICTON,diesel,83.5,85.2,88.5,83.5,3
2002-01-07,PICTON,diesel,83.5,85.2,88.5,83.5,3
2002-01-08,PICTON,diesel,83.5,85.2,88.5,83.5,3
2002-01-09,PICTON,diesel,83.5,85.5,89.2,83.5,3
2002-01-10,PICTON,diesel,83.9,85.7,89.2,83.9,3
2002-01-11,PICTON,diesel,83.9,85.7,89.2,83.9,3
2002-01-12,PICTON,diesel,83.9,85.7,89.2,83.9,3
2002-01-13,PICTON,diesel,83.9,85.7,89.2,83.9,3
2002-01-14,PICTON,diesel,83.9,85.7,89.2,83.9,3
2002-01-15,PICTON,diesel,83.9,85.7,89.2,83.9,3
2002-01-16,PICTON,diesel,83.9,85.7,89.4,83.9,3
2002-01-17,PICTON,diesel,83.9,85.7,89.4,83.9,3
2002-01-18,PICTON,diesel,83.9,85.7,89.4,83.9,3
2002-01-19,PICTON,diesel,83.5,85.6,89.4,83.5,3
2002-01-20,PICTON,diesel,83.5,85.6,89.4,83.5,3
2002-01-21,PICTON,diesel,83.5,85.6,89.4,83.5,3
2002-01-22,PICTON,diesel,83.5,85.5,89.4,83.5,3
2002-01-23,PICTON,diesel,83.5,85.5,89.4,83.5,3
2002-01-24,PICTON,diesel,83.5,85.1,88.4,83.5,3
2002-01-25,PICTON,diesel,83.5,85.1,88.4,83.5,3
2002-01-26,PICTON,diesel,83.5,85.1,88.4,83.5,3
2002-01-27,PICTON,diesel,83.5,85.1,88.4,83.5,3
2002-01-28,PICTON,diesel,83.5,85.1,88.4,83.5,3
2002-01-29,PICTON,diesel,83.5,85.1,88.4,83.5,3
2002-01-30,PICTON,diesel,83.5,85.1,88.4,83.5,3
2002-01-31,PICTON,diesel,83.5,85.1,88.4,83.5,3
2002-02-01,PICTON,diesel,83.5,85.1,88.4,83.5,3
2002-02-02,PICTON,diesel,83.5,85.1,88.4,83.5,3
2002-02-03,PICTON,diesel,83.5,85.1,88.4,83.5,3
2002-02-04,PICTON,diesel,83.5,85.1,88.4,83.5,3
2002-02-05,PICTON,diesel,83.5,85.2,88.5,83.5,3
2002-02-06,PICTON,diesel,83.5,85.2,88.5,83.5,3
2002-02-07,PICTON,diesel,83.5,85.3,88.5,83.5,3
2002-02-08,PICTON,diesel,83.5,85.3,88.5,83.5,3
2002-02-09,PICTON,diesel,83.5,85.3,88.5,83.5,3
2002-02-10,PICTON,diesel,83.5,85.3,88.5,83.5,3
2002-02-11,PICTON,diesel,83.5,85.3,88.5,83.5,3
2002-02-12,PICTON,diesel,83.9,85.5,88.7,83.9,3
2002-02-13,PICTON,diesel,83.9,85.5,88.7,83.9,3
2002-02-14,PICTON,diesel,83.9,85.7,88.7,83.9,3
2002-02-15,PICTON,diesel,83.9,85.9,89.3,83.9,3
2002-02-16,PICTON,diesel,83.9,86.0,89.5,83.9,3
2002-02-17,PICTON,diesel,83.9,86.0,89.5,83.9,3
2002-02-18,PICTON,diesel,83.9,86.0,89.5,83.9,3
2002-02-19,PICTON,diesel,83.9,86.0,89.5,83.9,3
2002-02-20,PICTON,diesel,83.9,86.0,89.5,83.9,3
2002-02-21,PICTON,diesel,83.9,86.0,89.5,83.9,3
2002-02-22,PICTON,diesel,83.9,86.0,89.7,83.9,3
2002-02-23,PICTON,diesel,83.9,86.0,89.7,83.9,3
2002-02-24,PICTON,diesel,83.9,86.0,89.7,83.9,3
2002-02-25,PICTON,diesel,83.9,86.0,89.7,83.9,3
2002-02-26,PICTON,diesel,83.9,86.0,89.7,83.9,3
2002-02-27,PICTON,diesel,83.9,86.0,89.7,83.9,3
2002-02-28,PICTON,diesel,83.9,86.0,89.7,83.9,3
2003-01-01,PICTON,diesel,95.5,97.7,102.1,95.5,3
2003-01-02,PICTON,diesel,95.5,97.7,102.1,95.5,3
2003-01-03,PICTON,diesel,95.5,97.7,102.1,95.5,3
2003-01-04,PICTON,diesel,95.5,97.7,102.1,95.5,3
2003-01-05,PICTON,diesel,95.5,97.7,102.1,95.5,3
2003-01-06,PICTON,diesel,95.5,97.7,102.1,95.5,3
2003-01-07,PICTON,diesel,95.5,98.0,102.9,95.5,3
2003-01-08,PICTON,diesel,95.5,98.0,102.9,95.5,3
2003-01-09,PICTON,diesel,95.5,98.1,102.9,95.5,3
2003-01-10,PICTON,diesel,95.9,98.2,102.9,95.9,3
2003-01-11,PICTON,diesel,95.9,98.2,102.9,95.9,3
2003-01-12,PICTON,diesel,95.9,98.2,102.9,95.9,3
2003-01-13,PICTON,diesel,95.9,98.2,102.9,95.9,3
2003-01-14,PICTON,diesel,95.9,98.2,102.9,95.9,3
2003-01-15,PICTON,diesel,95.9,98.2,102.9,95.9,3
2003-01-16,PICTON,diesel,95.9,98.2,102.9,95.9,3
2003-01-17,PICTON,diesel,95.9,98.2,102.9,95.9,3
2003-01-18,PICTON,diesel,95.9,98.2,102.9,95.9,3
2003-01-19,PICTON,diesel,95.9,98.2,102.9,95.9,3
2003-01-20,PICTON,diesel,95.9,98.2,102.9,95.9,3
2003-01-21,PICTON,diesel,95.9,98.2,102.9,95.9,3
2003-01-22,PICTON,diesel,95.9,98.2,102.9,95.9,3
2003-01-23,PICTON,diesel,95.9,97.5,100.6,95.9,3
2003-01-24,PICTON,diesel,95.9,97.5,100.6,95.9,3
2003-01-25,PICTON,diesel,95.9,97.5,100.6,95.9,3
2003-01-26,PICTON,diesel,95.9,97.5,100.6,95.9,3
2003-01-27,PICTON,diesel,95.9,97.5,100.6,95.9,3
2003-01-28,PICTON,diesel,95.9,97.5,100.6,95.9,3
2003-01-29,PICTON,diesel,95.9,97.8,101.7,95.9,3
2003-01-30,PICTON,diesel,95.9,98.0,101.7,95.9,3
2003-01-31,PICTON,diesel,95.9,98.0,101.7,95.9,3
2003-02-01,PICTON,diesel,95.9,98.0,101.7,95.9,3
2003-02-02,PICTON,diesel,95.9,98.0,101.7,95.9,3
2003-02-03,PICTON,diesel,95.9,98.0,101.7,95.9,3
2003-02-04,PICTON,diesel,96.5,98.3,101.9,96.5,3
2003-02-05,PICTON,diesel,96.5,98.3,101.9,96.5,3
2003-02-06,PICTON,diesel,96.5,98.3,101.9,96.5,3
2003-02-07,PICTON,diesel,96.5,98.3,101.9,96.5,3
2003-02-08,PICTON,diesel,96.5,98.3,101.9,96.5,3
2003-02-09,PICTON,diesel,96.5,98.3,101.9,96.5,3
2003-02-10,PICTON,diesel,96.5,98.3,101.9,96.5,3
2003-02-11,PICTON,diesel,96.5,98.9,102.7,96.5,3
2003-02-12,PICTON,diesel,97.5,99.4,102.7,97.5,3
2003-02-13,PICTON,diesel,97.5,99.4,102.7,97.5,3
2003-02-14,PICTON,diesel,99.9,100.8,102.7,99.9,3
2003-02-15,PICTON,diesel,99.9,100.8,102.7,99.9,3
2003-02-16,PICTON,diesel,99.9,100.8,102.7,99.9,3
2003-02-17,PICTON,diesel,99.9,100.8,102.7,99.9,3
2003-02-18,PICTON,diesel,99.9,102.3,106.2,99.9,3
2003-02-19,PICTON,diesel,99.9,102.3,106.2,99.9,3
2003-02-20,PICTON,diesel,100.9,102.7,106.2,100.9,3
2003-02-21,PICTON,diesel,101.0,103.0,106.2,101.0,3
2003-02-22,PICTON,diesel,101.0,103.0,106.2,101.0,3
2003-02-23,PICTON,diesel,101.0,103.0,106.2,101.0,3
2003-02-24,PICTON,diesel,101.0,103.0,106.2,101.0,3
2003-02-25,PICTON,diesel,101.9,103.8,107.6,101.9,3
2003-02-26,PICTON,diesel,101.9,103.8,107.6,101.9,3
2003-02-27,PICTON,diesel,101.9,103.8,107.6,101.9,3
2003-02-28,PICTON,diesel,101.9,103.8,107.6,101.9,3
2004-01-01,PICTON,diesel,91.9,92.9,94.9,91.9,3
2004-01-02,PICTON,diesel,91.9,92.9,94.9,91.9,3
2004-01-03,PICTON,diesel,91.9,93.2,94.9,91.9,3
