date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,CAPEL,diesel,89.9,90.1,90.5,89.9,3
2002-01-02,CAPEL,diesel,89.9,90.1,90.5,89.9,3
2002-01-03,CAPEL,diesel,89.9,90.1,90.5,89.9,3
2002-01-04,CAPEL,diesel,89.9,90.1,90.5,89.9,3
2002-01-05,CAPEL,diesel,89.9,90.1,90.5,89.9,3
2002-01-06,CAPEL,diesel,89.9,90.1,90.5,89.9,3
2002-01-07,CAPEL,diesel,89.9,90.1,90.5,89.9,3
2002-01-08,CAPEL,diesel,89.9,90.1,90.5,89.9,3
2002-01-09,CAPEL,diesel,89.9,90.1,90.5,89.9,3
2002-01-10,CAPEL,diesel,89.9,90.1,90.5,89.9,3
2002-01-11,CAPEL,diesel,89.9,90.1,90.5,89.9,3
2002-01-12,CAPEL,diesel,89.9,90.1,90.5,89.9,3
2002-01-13,CAPEL,diesel,89.9,90.1,90.5,89.9,3
2002-01-14,CAPEL,diesel,89.9,90.1,90.5,89.9,3
2002-01-15,CAPEL,diesel,89.9,90.1,90.5,89.9,3
2002-01-16,CAPEL,diesel,89.9,90.1,90.5,89.9,3
2002-01-17,CAPEL,diesel,89.9,90.3,90.5,89.9,3
2002-01-18,CAPEL,diesel,89.9,90.3,90.5,89.9,3
2002-01-19,CAPEL,diesel,89.9,90.3,90.5,89.9,3
2002-01-20,CAPEL,diesel,89.9,90.3,90.5,89.9,3
2002-01-21,CAPEL,diesel,89.9,90.3,90.5,89.9,3
2002-01-22,CAPEL,diesel,89.9,90.1,90.5,89.9,3
2002-01-23,CAPEL,diesel,89.9,90.1,90.5,89.9,3
2002-01-24,CAPEL,diesel,89.9,90.1,90.5,89.9,3
2002-01-25,CAPEL,diesel,89.9,90.1,90.5,89.9,3
2002-01-26,CAPEL,diesel,89.9,90.1,90.5,89.9,3
2002-01-27,CAPEL,diesel,89.9,90.1,90.5,89.9,3
2002-01-28,CAPEL,diesel,89.9,90.1,90.5,89.9,3
2002-01-29,CAPEL,diesel,89.9,90.1,90.5,89.9,3
2002-01-30,CAPEL,diesel,89.9,90.1,90.5,89.9,3
2002-01-31,CAPEL,diesel,89.9,90.1,90.5,89.9,3
2002-02-01,CAPEL,diesel,89.9,90.1,90.5,89.9,3
2002-02-02,CAPEL,diesel,89.9,90.1,90.5,89.9,3
2002-02-03,CAPEL,diesel,89.9,90.1,90.5,89.9,3
2002-02-04,CAPEL,diesel,89.9,90.1,90.5,89.9,3
2002-02-05,CAPEL,diesel,89.9,90.1,90.5,89.9,3
2002-02-06,CAPEL,diesel,89.9,90.1,90.5,89.9,3
2002-02-07,CAPEL,diesel,89.9,90.1,90.5,89.9,3
2002-02-08,CAPEL,diesel,89.9,90.1,90.5,89.9,3
2002-02-09,CAPEL,diesel,89.9,90.1,90.5,89.9,3
2002-02-10,CAPEL,diesel,89.9,90.4,90.9,89.9,3
2002-02-11,CAPEL,diesel,89.9,90.4,90.9,89.9,3
2002-02-12,CAPEL,diesel,89.9,90.4,90.9,89.9,3
2002-02-13,CAPEL,diesel,89.9,90.4,90.9,89.9,3
2002-02-14,CAPEL,diesel,89.9,90.4,90.9,89.9,3
2002-02-15,CAPEL,diesel,89.9,90.4,90.9,89.9,3
2002-02-16,CAPEL,diesel,90.5,90.6,90.9,90.5,3
2002-02-17,CAPEL,diesel,90.5,90.6,90.9,90.5,3
2002-02-18,CAPEL,diesel,90.5,90.6,90.9,90.5,3
2002-02-19,CAPEL,diesel,90.5,90.6,90.9,90.5,3
2002-02-20,CAPEL,diesel,90.5,90.6,90.9,90.5,3
2002-02-21,CAPEL,diesel,90.5,90.6,90.9,90.5,3
2002-02-22,CAPEL,diesel,90.5,90.6,90.9,90.5,3
2002-02-23,CAPEL,diesel,90.5,90.6,90.9,90.5,3
2002-02-24,CAPEL,diesel,90.5,90.6,90.9,90.5,3
2002-02-25,CAPEL,diesel,90.5,90.6,90.9,90.5,3
2002-02-26,CAPEL,diesel,90.5,90.6,90.9,90.5,3
2002-02-27,CAPEL,diesel,90.5,90.6,90.9,90.5,3
2002-02-28,CAPEL,diesel,90.5,90.8,91.0,90.5,3
2003-01-01,CAPEL,diesel,99.5,100.7,101.5,99.5,3
2003-01-02,CAPEL,diesel,99.5,100.7,101.5,99.5,3
2003-01-03,CAPEL,diesel,99.9,100.8,101.5,99.9,3
2003-01-04,CAPEL,diesel,99.9,101.5,103.0,99.9,3
2003-01-05,CAPEL,diesel,99.9,101.5,103.0,99.9,3
2003-01-06,CAPEL,diesel,99.9,101.5,103.0,99.9,3
2003-01-07,CAPEL,diesel,99.9,102.1,103.5,99.9,3
2003-01-08,CAPEL,diesel,99.9,102.1,103.5,99.9,3
2003-01-09,CAPEL,diesel,99.9,102.1,103.5,99.9,3
2003-01-10,CAPEL,diesel,99.9,102.1,103.5,99.9,3
2003-01-11,CAPEL,diesel,99.9,102.1,103.5,99.9,3
2003-01-12,CAPEL,diesel,99.9,102.1,103.5,99.9,3
2003-01-13,CAPEL,diesel,99.9,102.1,103.5,99.9,3
2003-01-14,CAPEL,diesel,101.5,102.7,103.5,101.5,3
2003-01-15,CAPEL,diesel,101.5,102.7,103.5,101.5,3
2003-01-16,CAPEL,diesel,101.5,102.7,103.5,101.5,3
2003-01-17,CAPEL,diesel,101.5,102.7,103.5,101.5,3
2003-01-18,CAPEL,diesel,101.5,102.7,103.5,101.5,3
2003-01-19,CAPEL,diesel,101.5,102.7,103.5,101.5,3
2003-01-20,CAPEL,diesel,101.5,102.7,103.5,101.5,3
2003-01-21,CAPEL,diesel,101.5,102.7,103.5,101.5,3
2003-01-22,CAPEL,diesel,101.5,102.7,103.5,101.5,3
2003-01-23,CAPEL,diesel,101.5,102.7,103.5,101.5,3
2003-01-24,CAPEL,diesel,101.5,102.7,103.5,101.5,3
2003-01-25,CAPEL,diesel,101.5,102.7,103.5,101.5,3
2003-01-26,CAPEL,diesel,101.5,102.7,103.5,101.5,3
2003-01-27,CAPEL,diesel,101.5,102.7,103.5,101.5,3
2003-01-28,CAPEL,diesel,101.5,102.7,103.5,101.5,3
2003-01-29,CAPEL,diesel,101.5,102.7,103.5,101.5,3
2003-01-30,CAPEL,diesel,101.5,102.7,103.5,101.5,3
2003-01-31,CAPEL,diesel,101.5,102.7,103.5,101.5,3
2003-02-01,CAPEL,diesel,101.5,102.7,103.5,101.5,3
2003-02-02,CAPEL,diesel,101.5,102.7,103.5,101.5,3
2003-02-03,CAPEL,diesel,101.5,102.7,103.5,101.5,3
2003-02-04,CAPEL,diesel,101.5,102.7,103.5,101.5,3
2003-02-05,CAPEL,diesel,101.5,102.7,103.5,101.5,3
2003-02-06,CAPEL,diesel,101.5,102.7,103.5,101.5,3
2003-02-07,CAPEL,diesel,101.5,102.7,103.5,101.5,3
2003-02-08,CAPEL,diesel,101.5,102.7,103.5,101.5,3
2003-02-09,CAPEL,diesel,101.5,102.7,103.5,101.5,3
2003-02-10,CAPEL,diesel,101.5,102.7,103.5,101.5,3
2003-02-11,CAPEL,diesel,101.5,102.7,103.5,101.5,3
2003-02-12,CAPEL,diesel,102.5,103.0,103.5,102.5,3
2003-02-13,CAPEL,diesel,102.5,103.0,103.5,102.5,3
2003-02-14,CAPEL,diesel,102.5,103.0,103.5,102.5,3
2003-02-15,CAPEL,diesel,102.5,103.0,103.5,102.5,3
2003-02-16,CAPEL,diesel,103.0,103.7,104.5,103.0,3
2003-02-17,CAPEL,diesel,103.0,103.7,104.5,103.0,3
2003-02-18,CAPEL,diesel,103.0,103.7,104.5,103.0,3
2003-02-19,CAPEL,diesel,103.0,103.7,104.5,103.0,3
2003-02-20,CAPEL,diesel,103.0,103.7,104.5,103.0,3
2003-02-21,CAPEL,diesel,103.0,103.7,104.5,103.0,3
2003-02-22,CAPEL,diesel,103.0,105.7,107.5,103.0,3
2003-02-23,CAPEL,diesel,103.0,105.7,107.5,103.0,3
2003-02-24,CAPEL,diesel,103.0,105.7,107.5,103.0,3
2003-02-25,CAPEL,diesel,106.5,107.7,109.0,106.5,3
2003-02-26,CAPEL,diesel,106.5,107.7,109.0,106.5,3
2003-02-27,CAPEL,diesel,106.5,107.7,109.0,106.5,3
2003-02-28,CAPEL,diesel,106.5,107.7,109.0,106.5,3
2004-01-01,CAPEL,diesel,95.5,97.3,98.6,95.5,3
2004-01-02,CAPEL,diesel,95.5,97.3,98.6,95.5,3
2004-01-03,CAPEL,diesel,97.7,98.3,98.6,97.7,3
2004-01-04,CAPEL,diesel,97.7,98.3,98.6,97.7,3
2004-01-05,CAPEL,diesel,97.7,98.3,98.6,97.7,3
2004-01-06,CAPEL,diesel,97.7,98.3,98.6,97.7,3
2004-01-07,CAPEL,diesel,97.7,98.3,98.6,97.7,3
2004-01-08,CAPEL,diesel,97.7,98.3,98.6,97.7,3
2004-01-09,CAPEL,diesel,97.7,98.3,98.6,97.7,3
2004-01-10,CAPEL,diesel,97.7,98.3,98.6,97.7,3
2004-01-11,CAPEL,diesel,95.5,97.3,98.6,95.5,3
2004-01-12,CAPEL,diesel,95.5,97.3,98.6,95.5,3
2004-01-13,CAPEL,diesel,95.5,97.3,98.6,95.5,3
2004-01-14,CAPEL,diesel,95.5,97.3,98.6,95.5,3
2004-01-15,CAPEL,diesel,95.5,97.3,98.6,95.5,3
2004-01-16,CAPEL,diesel,95.5,97.3,98.6,95.5,3
2004-01-17,CAPEL,diesel,95.5,97.3,98.6,95.5,3
2004-01-18,CAPEL,diesel,95.5,97.3,98.6,95.5,3
2004-01-19,CAPEL,diesel,95.5,97.3,98.6,95.5,3
2004-01-20,CAPEL,diesel,98.6,99.4,99.9,98.6,3
2004-01-21,CAPEL,diesel,98.6,99.4,99.9,98.6,3
2004-01-22,CAPEL,diesel,98.6,99.4,99.9,98.6,3
2004-01-23,CAPEL,diesel,98.6,99.4,99.9,98.6,3
2004-01-24,CAPEL,diesel,98.6,99.4,99.9,98.6,3
2004-01-25,CAPEL,diesel,98.6,99.4,99.9,98.6,3
2004-01-26,CAPEL,diesel,98.6,99.4,99.9,98.6,3
2004-01-27,CAPEL,diesel,98.6,99.4,99.9,98.6,3
2004-01-28,CAPEL,diesel,98.6,99.4,99.9,98.6,3
2004-01-29,CAPEL,diesel,98.6,99.4,99.9,98.6,3
2004-01-30,CAPEL,diesel,98.6,99.4,99.9,98.6,3
2004-01-31,CAPEL,diesel,98.6,99.4,99.9,98.6,3
2004-02-01,CAPEL,diesel,98.6,99.4,99.9,98.6,3
2004-02-02,CAPEL,diesel,98.6,99.4,99.9,98.6,3
2004-02-03,CAPEL,diesel,98.6,99.4,99.9,98.6,3
2004-02-04,CAPEL,diesel,98.6,99.4,99.9,98.6,3
2004-02-05,CAPEL,diesel,98.6,99.4,99.9,98.6,3
2004-02-06,CAPEL,diesel,98.6,99.4,99.9,98.6,3
2004-02-07,CAPEL,diesel,98.6,99.4,99.9,98.6,3
2004-02-08,CAPEL,diesel,98.6,99.4,99.9,98.6,3
2004-02-09,CAPEL,diesel,98.6,99.4,99.9,98.6,3
2004-02-10,CAPEL,diesel,98.6,99.4,99.9,98.6,3
2004-02-11,CAPEL,diesel,98.6,99.4,99.9,98.6,3
2004-02-12,CAPEL,diesel,98.6,99.4,99.9,98.6,3
2004-02-13,CAPEL,diesel,98.6,99.4,99.9,98.6,3
2004-02-14,CAPEL,diesel,98.6,99.4,99.9,98.6,3
2004-02-15,CAPEL,diesel,98.6,99.4,99.9,98.6,3
2004-02-16,CAPEL,diesel,98.6,99.4,99.9,98.6,3
2004-02-17,CAPEL,diesel,98.6,99.4,99.9,98.6,3
2004-02-18,CAPEL,diesel,98.6,99.4,99.9,98.6,3
2004-02-19,CAPEL,diesel,98.6,99.4,99.9,98.6,3
2004-02-20,CAPEL,diesel,98.6,99.4,99.9,98.6,3
2004-02-21,CAPEL,diesel,99.5,99.7,99.9,99.5,3
2004-02-22,CAPEL,diesel,99.5,99.7,99.9,99.5,3
2004-02-23,CAPEL,diesel,99.5,99.7,99.9,99.5,3
2004-02-24,CAPEL,diesel,99.5,99.7,99.9,99.5,3
2004-02-25,CAPEL,diesel,99.5,99.7,99.9,99.5,3
2004-02-26,CAPEL,diesel,99.5,99.7,99.9,99.5,3
2004-02-27,CAPEL,diesel,99.5,99.7,99.9,99.5,3
2004-02-28,CAPEL,diesel,99.5,99.7,99.9,99.5,3
2004-02-29,CAPEL,diesel,99.5,99.7,99.9,99.5,3
2005-01-01,CAPEL,diesel,113.4,115.0,117.5,113.4,3
2005-01-02,CAPEL,diesel,113.4,115.0,117.5,113.4,3
2005-01-03,CAPEL,diesel,113.4,115.0,117.5,113.4,3
2005-01-04,CAPEL,diesel,113.4,115.0,117.5,113.4,3
2005-01-05,CAPEL,diesel,113.4,115.0,117.5,113.4,3
2005-01-06,CAPEL,diesel,113.4,115.0,117.5,113.4,3
2005-01-07,CAPEL,diesel,113.4,115.0,117.5,113.4,3
2005-01-08,CAPEL,diesel,108.6,113.4,117.5,108.6,3
2005-01-09,CAPEL,diesel,108.6,113.4,117.5,108.6,3
2005-01-10,CAPEL,diesel,108.6,113.4,117.5,108.6,3
2005-01-11,CAPEL,diesel,108.6,113.4,117.5,108.6,3
2005-01-12,CAPEL,diesel,108.6,113.4,117.5,108.6,3
2005-01-13,CAPEL,diesel,108.6,112.2,114.0,108.6,3
2005-01-14,CAPEL,diesel,108.6,112.2,114.0,108.6,3
2005-01-15,CAPEL,diesel,109.6,112.5,114.0,109.6,3
2005-01-16,CAPEL,diesel,109.6,112.5,114.0,109.6,3
2005-01-17,CAPEL,diesel,109.6,112.5,114.0,109.6,3
2005-01-18,CAPEL,diesel,109.6,112.5,114.0,109.6,3
2005-01-19,CAPEL,diesel,109.6,112.5,114.0,109.6,3
2005-01-20,CAPEL,diesel,109.6,112.5,114.0,109.6,3
2005-01-21,CAPEL,diesel,109.6,112.5,114.0,109.6,3
2005-01-22,CAPEL,diesel,110.6,112.8,114.0,110.6,3
2005-01-23,CAPEL,diesel,110.6,113.2,114.9,110.6,3
2005-01-24,CAPEL,diesel,110.6,113.2,114.9,110.6,3
2005-01-25,CAPEL,diesel,110.6,113.2,114.9,110.6,3
2005-01-26,CAPEL,diesel,110.6,113.2,114.9,110.6,3
2005-01-27,CAPEL,diesel,110.6,113.2,114.9,110.6,3
2005-01-28,CAPEL,diesel,110.6,113.2,114.9,110.6,3
2005-01-29,CAPEL,diesel,111.3,113.4,114.9,111.3,3
2005-01-30,CAPEL,diesel,111.3,113.4,114.9,111.3,3
2005-01-31,CAPEL,diesel,111.3,113.4,114.9,111.3,3
2005-02-01,CAPEL,diesel,111.3,113.4,114.9,111.3,3
2005-02-02,CAPEL,diesel,111.3,113.4,114.9,111.3,3
2005-02-03,CAPEL,diesel,111.3,113.4,114.9,111.3,3
2005-02-04,CAPEL,diesel,111.3,113.4,114.9,111.3,3
2005-02-05,CAPEL,diesel,111.3,113.4,114.9,111.3,3
2005-02-06,CAPEL,diesel,111.3,113.4,114.9,111.3,3
2005-02-07,CAPEL,diesel,111.3,113.4,114.9,111.3,3
2005-02-08,CAPEL,diesel,111.3,113.4,114.9,111.3,3
2005-02-09,CAPEL,diesel,111.3,113.4,114.9,111.3,3
2005-02-10,CAPEL,diesel,111.3,113.4,114.9,111.3,3
2005-02-11,CAPEL,diesel,111.3,113.4,114.9,111.3,3
2005-02-12,CAPEL,diesel,111.3,113.4,114.9,111.3,3
2005-02-13,CAPEL,diesel,111.3,113.4,114.9,111.3,3
2005-02-14,CAPEL,diesel,111.3,113.4,114.9,111.3,3
2005-02-15,CAPEL,diesel,111.3,113.4,114.9,111.3,3
2005-02-16,CAPEL,diesel,111.3,113.4,114.9,111.3,3
2005-02-17,CAPEL,diesel,111.3,113.4,114.9,111.3,3
2005-02-18,CAPEL,diesel,111.3,113.4,114.9,111.3,3
2005-02-19,CAPEL,diesel,111.3,113.4,114.9,111.3,3
2005-02-20,CAPEL,diesel,111.3,113.4,114.9,111.3,3
2005-02-21,CAPEL,diesel,111.3,113.4,114.9,111.3,3
2005-02-22,CAPEL,diesel,111.3,113.4,114.9,111.3,3
2005-02-23,CAPEL,diesel,111.3,113.4,114.9,111.3,3
2005-02-24,CAPEL,diesel,111.3,113.4,114.9,111.3,3
2005-02-25,CAPEL,diesel,111.3,113.4,114.9,111.3,3
2005-02-26,CAPEL,diesel,111.3,114.1,116.9,111.3,3
2005-02-27,CAPEL,diesel,112.3,114.4,116.9,112.3,3
2005-02-28,CAPEL,diesel,112.3,114.4,116.9,112.3,3
2006-01-01,CAPEL,diesel,129.4,133.0,136.5,129.4,3
2006-01-02,CAPEL,diesel,129.4,133.0,136.5,129.4,3
2006-01-03,CAPEL,diesel,129.4,133.0,136.5,129.4,3
2006-01-04,CAPEL,diesel,129.4,133.0,136.5,129.4,3
2006-01-05,CAPEL,diesel,129.4,133.0,136.5,129.4,3
2006-01-06,CAPEL,diesel,129.4,133.0,136.5,129.4,3
2006-01-07,CAPEL,diesel,129.4,133.0,136.5,129.4,3
2006-01-08,CAPEL,diesel,129.4,133.0,136.5,129.4,3
2006-01-09,CAPEL,diesel,129.4,133.0,136.5,129.4,3
2006-01-10,CAPEL,diesel,129.4,133.0,136.5,129.4,3
2006-01-11,CAPEL,diesel,129.4,133.0,136.5,129.4,3
2006-01-12,CAPEL,diesel,129.4,133.0,136.5,129.4,3
2006-01-13,CAPEL,diesel,133.0,134.6,136.5,133.0,3
2006-01-14,CAPEL,diesel,133.0,134.6,136.5,133.0,3
2006-01-15,CAPEL,diesel,133.0,134.6,136.5,133.0,3
2006-01-16,CAPEL,diesel,133.0,134.6,136.5,133.0,3
2006-01-17,CAPEL,diesel,133.0,134.6,136.5,133.0,3
2006-01-18,CAPEL,diesel,133.0,134.6,136.5,133.0,3
2006-01-19,CAPEL,diesel,133.0,134.6,136.5,133.0,3
2006-01-20,CAPEL,diesel,133.0,134.6,136.5,133.0,3
2006-01-21,CAPEL,diesel,133.0,135.3,136.5,133.0,3
2006-01-22,CAPEL,diesel,133.0,135.3,136.5,133.0,3
2006-01-23,CAPEL,diesel,133.0,135.3,136.5,133.0,3
2006-01-24,CAPEL,diesel,136.4,136.4,136.5,136.4,3
2006-01-25,CAPEL,diesel,136.4,136.4,136.5,136.4,3
2006-01-26,CAPEL,diesel,136.4,136.4,136.5,136.4,3
2006-01-27,CAPEL,diesel,136.4,136.4,136.5,136.4,3
2006-01-28,CAPEL,diesel,136.4,136.4,136.5,136.4,3
2006-01-29,CAPEL,diesel,136.4,136.4,136.5,136.4,3
2006-01-30,CAPEL,diesel,136.4,136.4,136.5,136.4,3
2006-01-31,CAPEL,diesel,136.4,136.4,136.5,136.4,3
2006-02-01,CAPEL,diesel,136.4,136.4,136.5,136.4,3
2006-02-02,CAPEL,diesel,136.4,136.4,136.5,136.4,3
2006-02-03,CAPEL,diesel,136.4,136.4,136.5,136.4,3
2006-02-04,CAPEL,diesel,136.4,136.4,136.5,136.4,3
2006-02-05,CAPEL,diesel,136.4,136.4,136.5,136.4,3
2006-02-06,CAPEL,diesel,136.4,137.5,139.5,136.4,3
2006-02-07,CAPEL,diesel,136.4,137.5,139.5,136.4,3
2006-02-08,CAPEL,diesel,136.4,137.5,139.5,136.4,3
2006-02-09,CAPEL,diesel,136.4,137.5,139.5,136.4,3
2006-02-10,CAPEL,diesel,136.4,137.5,139.5,136.4,3
2006-02-11,CAPEL,diesel,136.4,137.5,139.5,136.4,3
2006-02-12,CAPEL,diesel,136.4,137.5,139.5,136.4,3
2006-02-13,CAPEL,diesel,136.4,137.5,139.5,136.4,3
2006-02-14,CAPEL,diesel,136.4,137.5,139.5,136.4,3
2006-02-15,CAPEL,diesel,136.4,137.5,139.5,136.4,3
2006-02-16,CAPEL,diesel,136.5,138.5,139.5,136.5,3
2006-02-17,CAPEL,diesel,136.5,138.5,139.5,136.5,3
2006-02-18,CAPEL,diesel,136.5,138.5,139.5,136.5,3
2006-02-19,CAPEL,diesel,136.5,138.5,139.5,136.5,3
2006-02-20,CAPEL,diesel,136.5,137.8,139.5,136.5,3
2006-02-21,CAPEL,diesel,136.5,137.8,139.5,136.5,3
2006-02-22,CAPEL,diesel,136.5,137.8,139.5,136.5,3
2006-02-23,CAPEL,diesel,136.5,137.8,139.5,136.5,3
2006-02-24,CAPEL,diesel,136.5,137.8,139.5,136.5,3
2006-02-25,CAPEL,diesel,136.5,137.8,139.5,136.5,3
2006-02-26,CAPEL,diesel,136.5,137.8,139.5,136.5,3
2006-02-27,CAPEL,diesel,136.5,137.8,139.5,136.5,3
2006-02-28,CAPEL,diesel,136.5,137.8,139.5,136.5,3
2007-01-01,CAPEL,diesel,128.9,131.3,135.0,128.9,3
2007-01-02,CAPEL,diesel,128.9,131.3,135.0,128.9,3
2007-01-03,CAPEL,diesel,128.9,131.3,135.0,128.9,3
2007-01-04,CAPEL,diesel,128.9,131.3,135.0,128.9,3
2007-01-05,CAPEL,diesel,128.9,131.3,135.0,128.9,3
2007-01-06,CAPEL,diesel,128.9,131.3,135.0,128.9,3
2007-01-07,CAPEL,diesel,128.9,131.3,135.0,128.9,3
2007-01-08,CAPEL,diesel,128.9,131.3,135.0,128.9,3
2007-01-09,CAPEL,diesel,128.9,131.3,135.0,128.9,3
2007-01-10,CAPEL,diesel,128.9,131.3,135.0,128.9,3
2007-01-11,CAPEL,diesel,128.9,131.3,135.0,128.9,3
2007-01-12,CAPEL,diesel,128.9,131.3,135.0,128.9,3
2007-01-13,CAPEL,diesel,128.9,131.3,135.0,128.9,3
2007-01-14,CAPEL,diesel,128.9,131.3,135.0,128.9,3
2007-01-15,CAPEL,diesel,128.9,131.3,135.0,128.9,3
2007-01-16,CAPEL,diesel,128.9,131.3,135.0,128.9,3
2007-01-17,CAPEL,diesel,128.9,131.3,135.0,128.9,3
2007-01-18,CAPEL,diesel,128.9,131.3,135.0,128.9,3
2007-01-19,CAPEL,diesel,128.9,131.3,135.0,128.9,3
2007-01-20,CAPEL,diesel,128.9,131.3,135.0,128.9,3
2007-01-21,CAPEL,diesel,128.9,131.3,135.0,128.9,3
2007-01-22,CAPEL,diesel,128.9,131.3,135.0,128.9,3
2007-01-23,CAPEL,diesel,128.9,131.3,135.0,128.9,3
2007-01-24,CAPEL,diesel,128.9,131.3,135.0,128.9,3
2007-01-25,CAPEL,diesel,128.9,131.3,135.0,128.9,3
2007-01-26,CAPEL,diesel,128.9,131.3,135.0,128.9,3
2007-01-27,CAPEL,diesel,128.9,131.3,135.0,128.9,3
2007-01-28,CAPEL,diesel,128.9,131.3,135.0,128.9,3
2007-01-29,CAPEL,diesel,128.9,131.3,135.0,128.9,3
2007-01-30,CAPEL,diesel,128.9,131.3,135.0,128.9,3
2007-01-31,CAPEL,diesel,128.9,131.3,135.0,128.9,3
2007-02-01,CAPEL,diesel,128.9,131.3,135.0,128.9,3
2007-02-02,CAPEL,diesel,128.9,131.3,135.0,128.9,3
2007-02-03,CAPEL,diesel,128.9,131.3,135.0,128.9,3
2007-02-04,CAPEL,diesel,128.9,131.3,135.0,128.9,3
2007-02-05,CAPEL,diesel,126.9,130.6,135.0,126.9,3
2007-02-06,CAPEL,diesel,126.9,129.6,135.0,126.9,3
2007-02-07,CAPEL,diesel,126.9,129.6,135.0,126.9,3
2007-02-08,CAPEL,diesel,126.9,129.6,135.0,126.9,3
2007-02-09,CAPEL,diesel,126.9,129.6,135.0,126.9,3
2007-02-10,CAPEL,diesel,126.9,129.6,135.0,126.9,3
2007-02-11,CAPEL,diesel,126.9,129.6,135.0,126.9,3
2007-02-12,CAPEL,diesel,126.9,129.6,135.0,126.9,3
2007-02-13,CAPEL,diesel,126.9,129.6,135.0,126.9,3
2007-02-14,CAPEL,diesel,126.9,129.6,135.0,126.9,3
2007-02-15,CAPEL,diesel,126.9,129.6,135.0,126.9,3
2007-02-16,CAPEL,diesel,126.9,129.6,135.0,126.9,3
2007-02-17,CAPEL,diesel,126.9,129.6,135.0,126.9,3
