date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,SOUTHERN RIVER,diesel,87.9,87.9,87.9,87.9,1
2002-01-02,SOUTHERN RIVER,diesel,87.9,87.9,87.9,87.9,1
2002-01-03,SOUTHERN RIVER,diesel,87.9,87.9,87.9,87.9,1
2002-01-04,SOUTHERN RIVER,diesel,87.9,87.9,87.9,87.9,1
2002-01-05,SOUTHERN RIVER,diesel,87.9,87.9,87.9,87.9,1
2002-01-06,SOUTHERN RIVER,diesel,87.9,87.9,87.9,87.9,1
2002-01-07,SOUTHERN RIVER,diesel,87.9,87.9,87.9,87.9,1
2002-01-08,SOUTHERN RIVER,diesel,87.9,87.9,87.9,87.9,1
2002-01-09,SOUTHERN RIVER,diesel,85.9,85.9,85.9,85.9,1
2002-01-10,SOUTHERN RIVER,diesel,85.9,85.9,85.9,85.9,1
2002-01-11,SOUTHERN RIVER,diesel,85.9,85.9,85.9,85.9,1
2002-01-12,SOUTHERN RIVER,diesel,85.9,85.9,85.9,85.9,1
2002-01-13,SOUTHERN RIVER,diesel,85.9,85.9,85.9,85.9,1
2002-01-14,SOUTHERN RIVER,diesel,85.9,85.9,85.9,85.9,1
2002-01-15,SOUTHERN RIVER,diesel,85.9,85.9,85.9,85.9,1
2002-01-16,SOUTHERN RIVER,diesel,85.9,85.9,85.9,85.9,1
2002-01-17,SOUTHERN RIVER,diesel,85.9,85.9,85.9,85.9,1
2002-01-18,SOUTHERN RIVER,diesel,85.9,85.9,85.9,85.9,1
2002-01-19,SOUTHERN RIVER,diesel,85.9,85.9,85.9,85.9,1
2002-01-20,SOUTHERN RIVER,diesel,85.9,85.9,85.9,85.9,1
2002-01-21,SOUTHERN RIVER,diesel,85.9,85.9,85.9,85.9,1
2002-01-22,SOUTHERN RIVER,diesel,85.9,85.9,85.9,85.9,1
2002-01-23,SOUTHERN RIVER,diesel,85.9,85.9,85.9,85.9,1
2002-01-24,SOUTHERN RIVER,diesel,85.9,85.9,85.9,85.9,1
2002-01-25,SOUTHERN RIVER,diesel,85.9,85.9,85.9,85.9,1
2002-01-26,SOUTHERN RIVER,diesel,85.9,85.9,85.9,85.9,1
2002-01-27,SOUTHERN RIVER,diesel,85.9,85.9,85.9,85.9,1
2002-01-28,SOUTHERN RIVER,diesel,85.9,85.9,85.9,85.9,1
2002-01-29,SOUTHERN RIVER,diesel,85.9,85.9,85.9,85.9,1
2002-01-30,SOUTHERN RIVER,diesel,85.9,85.9,85.9,85.9,1
2002-01-31,SOUTHERN RIVER,diesel,85.9,85.9,85.9,85.9,1
2002-02-01,SOUTHERN RIVER,diesel,85.9,85.9,85.9,85.9,1
2002-02-02,SOUTHERN RIVER,diesel,85.9,85.9,85.9,85.9,1
2002-02-03,SOUTHERN RIVER,diesel,85.9,85.9,85.9,85.9,1
2002-02-04,SOUTHERN RIVER,diesel,85.9,85.9,85.9,85.9,1
2002-02-05,SOUTHERN RIVER,diesel,82.9,82.9,82.9,82.9,1
2002-02-06,SOUTHERN RIVER,diesel,82.9,82.9,82.9,82.9,1
2002-02-07,SOUTHERN RIVER,diesel,82.9,82.9,82.9,82.9,1
2002-02-08,SOUTHERN RIVER,diesel,82.9,82.9,82.9,82.9,1
2002-02-09,SOUTHERN RIVER,diesel,82.9,82.9,82.9,82.9,1
2002-02-10,SOUTHERN RIVER,diesel,82.9,82.9,82.9,82.9,1
2002-02-11,SOUTHERN RIVER,diesel,82.9,82.9,82.9,82.9,1
2002-02-12,SOUTHERN RIVER,diesel,82.9,82.9,82.9,82.9,1
2002-02-13,SOUTHERN RIVER,diesel,82.9,82.9,82.9,82.9,1
2002-02-14,SOUTHERN RIVER,diesel,82.9,82.9,82.9,82.9,1
2002-02-15,SOUTHERN RIVER,diesel,82.9,82.9,82.9,82.9,1
2002-02-16,SOUTHERN RIVER,diesel,82.9,82.9,82.9,82.9,1
2002-02-17,SOUTHERN RIVER,diesel,82.9,82.9,82.9,82.9,1
2002-02-18,SOUTHERN RIVER,diesel,82.9,82.9,82.9,82.9,1
2002-02-19,SOUTHERN RIVER,diesel,82.9,82.9,82.9,82.9,1
2002-02-20,SOUTHERN RIVER,diesel,82.9,82.9,82.9,82.9,1
2002-02-21,SOUTHERN RIVER,diesel,82.9,82.9,82.9,82.9,1
2002-02-22,SOUTHERN RIVER,diesel,82.9,82.9,82.9,82.9,1
2002-02-23,SOUTHERN RIVER,diesel,82.9,82.9,82.9,82.9,1
2002-02-24,SOUTHERN RIVER,diesel,82.9,82.9,82.9,82.9,1
2002-02-25,SOUTHERN RIVER,diesel,82.9,82.9,82.9,82.9,1
2002-02-26,SOUTHERN RIVER,diesel,82.9,82.9,82.9,82.9,1
2002-02-27,SOUTHERN RIVER,diesel,82.9,82.9,82.9,82.9,1
2002-02-28,SOUTHERN RIVER,diesel,82.9,82.9,82.9,82.9,1
2003-01-01,SOUTHERN RIVER,diesel,96.9,96.9,96.9,96.9,1
2003-01-02,SOUTHERN RIVER,diesel,96.9,96.9,96.9,96.9,1
2003-01-03,SOUTHERN RIVER,diesel,96.9,96.9,96.9,96.9,1
2003-01-04,SOUTHERN RIVER,diesel,98.9,98.9,98.9,98.9,1
2003-01-05,SOUTHERN RIVER,diesel,98.9,98.9,98.9,98.9,1
2003-01-06,SOUTHERN RIVER,diesel,98.9,98.9,98.9,98.9,1
2003-01-07,SOUTHERN RIVER,diesel,98.9,98.9,98.9,98.9,1
2003-01-08,SOUTHERN RIVER,diesel,98.9,98.9,98.9,98.9,1
2003-01-09,SOUTHERN RIVER,diesel,96.9,96.9,96.9,96.9,1
2003-01-10,SOUTHERN RIVER,diesel,96.9,96.9,96.9,96.9,1
2003-01-11,SOUTHERN RIVER,diesel,96.9,96.9,96.9,96.9,1
2003-01-12,SOUTHERN RIVER,diesel,96.9,96.9,96.9,96.9,1
2003-01-13,SOUTHERN RIVER,diesel,96.9,96.9,96.9,96.9,1
2003-01-14,SOUTHERN RIVER,diesel,96.9,96.9,96.9,96.9,1
2003-01-15,SOUTHERN RIVER,diesel,96.9,96.9,96.9,96.9,1
2003-01-16,SOUTHERN RIVER,diesel,96.9,96.9,96.9,96.9,1
2003-01-17,SOUTHERN RIVER,diesel,96.9,96.9,96.9,96.9,1
2003-01-18,SOUTHERN RIVER,diesel,96.9,96.9,96.9,96.9,1
2003-01-19,SOUTHERN RIVER,diesel,96.9,96.9,96.9,96.9,1
2003-01-20,SOUTHERN RIVER,diesel,96.9,96.9,96.9,96.9,1
2003-01-21,SOUTHERN RIVER,diesel,96.9,96.9,96.9,96.9,1
2003-01-22,SOUTHERN RIVER,diesel,96.9,96.9,96.9,96.9,1
2003-01-23,SOUTHERN RIVER,diesel,96.9,96.9,96.9,96.9,1
2003-01-24,SOUTHERN RIVER,diesel,96.9,96.9,96.9,96.9,1
2003-01-25,SOUTHERN RIVER,diesel,96.9,96.9,96.9,96.9,1
2003-01-26,SOUTHERN RIVER,diesel,96.9,96.9,96.9,96.9,1
2003-01-27,SOUTHERN RIVER,diesel,96.9,96.9,96.9,96.9,1
2003-01-28,SOUTHERN RIVER,diesel,96.9,96.9,96.9,96.9,1
2003-01-29,SOUTHERN RIVER,diesel,96.9,96.9,96.9,96.9,1
2003-01-30,SOUTHERN RIVER,diesel,96.9,96.9,96.9,96.9,1
2003-01-31,SOUTHERN RIVER,diesel,96.9,96.9,96.9,96.9,1
2003-02-01,SOUTHERN RIVER,diesel,96.9,96.9,96.9,96.9,1
2003-02-02,SOUTHERN RIVER,diesel,96.9,96.9,96.9,96.9,1
2003-02-03,SOUTHERN RIVER,diesel,96.9,96.9,96.9,96.9,1
2003-02-04,SOUTHERN RIVER,diesel,96.9,96.9,96.9,96.9,1
2003-02-05,SOUTHERN RIVER,diesel,96.9,96.9,96.9,96.9,1
2003-02-06,SOUTHERN RIVER,diesel,96.9,96.9,96.9,96.9,1
2003-02-07,SOUTHERN RIVER,diesel,96.9,96.9,96.9,96.9,1
2003-02-08,SOUTHERN RIVER,diesel,96.9,96.9,96.9,96.9,1
2003-02-09,SOUTHERN RIVER,diesel,96.9,96.9,96.9,96.9,1
2003-02-10,SOUTHERN RIVER,diesel,96.9,96.9,96.9,96.9,1
2003-02-11,SOUTHERN RIVER,diesel,96.9,96.9,96.9,96.9,1
2003-02-12,SOUTHERN RIVER,diesel,96.9,96.9,96.9,96.9,1
2003-02-13,SOUTHERN RIVER,diesel,98.9,98.9,98.9,98.9,1
2003-02-14,SOUTHERN RIVER,diesel,102.9,102.9,102.9,102.9,1
2003-02-15,SOUTHERN RIVER,diesel,102.9,102.9,102.9,102.9,1
2003-02-16,SOUTHERN RIVER,diesel,102.9,102.9,102.9,102.9,1
2003-02-17,SOUTHERN RIVER,diesel,102.9,102.9,102.9,102.9,1
2003-02-18,SOUTHERN RIVER,diesel,102.9,102.9,102.9,102.9,1
2003-02-19,SOUTHERN RIVER,diesel,102.9,102.9,102.9,102.9,1
2003-02-20,SOUTHERN RIVER,diesel,102.9,102.9,102.9,102.9,1
2003-02-21,SOUTHERN RIVER,diesel,102.9,102.9,102.9,102.9,1
2003-02-22,SOUTHERN RIVER,diesel,102.9,102.9,102.9,102.9,1
2003-02-23,SOUTHERN RIVER,diesel,102.9,102.9,102.9,102.9,1
2003-02-24,SOUTHERN RIVER,diesel,102.9,102.9,102.9,102.9,1
2003-02-25,SOUTHERN RIVER,diesel,102.9,102.9,102.9,102.9,1
2003-02-26,SOUTHERN RIVER,diesel,102.9,102.9,102.9,102.9,1
2003-02-27,SOUTHERN RIVER,diesel,102.9,102.9,102.9,102.9,1
2003-02-28,SOUTHERN RIVER,diesel,102.9,102.9,102.9,102.9,1
2004-01-01,SOUTHERN RIVER,diesel,93.9,93.9,93.9,93.9,1
2004-01-02,SOUTHERN RIVER,diesel,93.9,93.9,93.9,93.9,1
2004-01-03,SOUTHERN RIVER,diesel,93.9,93.9,93.9,93.9,1
2004-01-04,SOUTHERN RIVER,diesel,93.9,93.9,93.9,93.9,1
2004-01-05,SOUTHERN RIVER,diesel,93.9,93.9,93.9,93.9,1
2004-01-06,SOUTHERN RIVER,diesel,93.9,93.9,93.9,93.9,1
2004-01-07,SOUTHERN RIVER,diesel,92.9,92.9,92.9,92.9,1
2004-01-08,SOUTHERN RIVER,diesel,92.9,92.9,92.9,92.9,1
2004-01-09,SOUTHERN RIVER,diesel,92.9,92.9,92.9,92.9,1
2004-01-10,SOUTHERN RIVER,diesel,92.9,92.9,92.9,92.9,1
2004-01-11,SOUTHERN RIVER,diesel,92.9,92.9,92.9,92.9,1
2004-01-12,SOUTHERN RIVER,diesel,92.9,92.9,92.9,92.9,1
2004-01-13,SOUTHERN RIVER,diesel,93.9,93.9,93.9,93.9,1
2004-01-14,SOUTHERN RIVER,diesel,93.9,93.9,93.9,93.9,1
2004-01-15,SOUTHERN RIVER,diesel,93.9,93.9,93.9,93.9,1
2004-01-16,SOUTHERN RIVER,diesel,93.9,93.9,93.9,93.9,1
2004-01-17,SOUTHERN RIVER,diesel,93.9,93.9,93.9,93.9,1
2004-01-18,SOUTHERN RIVER,diesel,93.9,93.9,93.9,93.9,1
2004-01-19,SOUTHERN RIVER,diesel,93.9,93.9,93.9,93.9,1
2004-01-20,SOUTHERN RIVER,diesel,93.9,93.9,93.9,93.9,1
2004-01-21,SOUTHERN RIVER,diesel,93.9,93.9,93.9,93.9,1
2004-01-22,SOUTHERN RIVER,diesel,93.9,93.9,93.9,93.9,1
2004-01-23,SOUTHERN RIVER,diesel,93.9,93.9,93.9,93.9,1
2004-01-24,SOUTHERN RIVER,diesel,93.9,93.9,93.9,93.9,1
2004-01-25,SOUTHERN RIVER,diesel,93.9,93.9,93.9,93.9,1
2004-01-26,SOUTHERN RIVER,diesel,93.9,93.9,93.9,93.9,1
2004-01-27,SOUTHERN RIVER,diesel,93.9,93.9,93.9,93.9,1
2004-01-28,SOUTHERN RIVER,diesel,93.9,93.9,93.9,93.9,1
2004-01-29,SOUTHERN RIVER,diesel,93.9,93.9,93.9,93.9,1
2004-01-30,SOUTHERN RIVER,diesel,93.9,93.9,93.9,93.9,1
2004-01-31,SOUTHERN RIVER,diesel,93.9,93.9,93.9,93.9,1
2004-02-01,SOUTHERN RIVER,diesel,93.9,93.9,93.9,93.9,1
2004-02-02,SOUTHERN RIVER,diesel,93.9,93.9,93.9,93.9,1
2004-02-03,SOUTHERN RIVER,diesel,93.9,93.9,93.9,93.9,1
2004-02-04,SOUTHERN RIVER,diesel,93.9,93.9,93.9,93.9,1
2004-02-05,SOUTHERN RIVER,diesel,93.9,93.9,93.9,93.9,1
2004-02-06,SOUTHERN RIVER,diesel,93.9,93.9,93.9,93.9,1
2004-02-07,SOUTHERN RIVER,diesel,93.9,93.9,93.9,93.9,1
2004-02-08,SOUTHERN RIVER,diesel,93.9,93.9,93.9,93.9,1
2004-02-09,SOUTHERN RIVER,diesel,93.9,93.9,93.9,93.9,1
2004-02-10,SOUTHERN RIVER,diesel,93.9,93.9,93.9,93.9,1
2004-02-11,SOUTHERN RIVER,diesel,93.9,93.9,93.9,93.9,1
2004-02-12,SOUTHERN RIVER,diesel,93.9,93.9,93.9,93.9,1
2004-02-13,SOUTHERN RIVER,diesel,93.9,93.9,93.9,93.9,1
2004-02-14,SOUTHERN RIVER,diesel,93.9,93.9,93.9,93.9,1
2004-02-15,SOUTHERN RIVER,diesel,93.9,93.9,93.9,93.9,1
2004-02-16,SOUTHERN RIVER,diesel,93.9,93.9,93.9,93.9,1
2004-02-17,SOUTHERN RIVER,diesel,93.9,93.9,93.9,93.9,1
2004-02-18,SOUTHERN RIVER,diesel,93.9,93.9,93.9,93.9,1
2004-02-19,SOUTHERN RIVER,diesel,93.9,93.9,93.9,93.9,1
2004-02-20,SOUTHERN RIVER,diesel,93.9,93.9,93.9,93.9,1
2004-02-21,SOUTHERN RIVER,diesel,93.9,93.9,93.9,93.9,1
2004-02-22,SOUTHERN RIVER,diesel,93.9,93.9,93.9,93.9,1
2004-02-23,SOUTHERN RIVER,diesel,93.9,93.9,93.9,93.9,1
2004-02-24,SOUTHERN RIVER,diesel,93.9,93.9,93.9,93.9,1
2004-02-25,SOUTHERN RIVER,diesel,93.9,93.9,93.9,93.9,1
2004-02-26,SOUTHERN RIVER,diesel,93.9,93.9,93.9,93.9,1
2004-02-27,SOUTHERN RIVER,diesel,93.9,93.9,93.9,93.9,1
2004-02-28,SOUTHERN RIVER,diesel,93.9,93.9,93.9,93.9,1
2004-02-29,SOUTHERN RIVER,diesel,93.9,93.9,93.9,93.9,1
2008-01-01,SOUTHERN RIVER,diesel,150.9,151.9,152.9,150.9,2
2008-01-02,SOUTHERN RIVER,diesel,150.9,151.7,152.5,150.9,2
2008-01-03,SOUTHERN RIVER,diesel,150.9,151.7,152.5,150.9,2
2008-01-04,SOUTHERN RIVER,diesel,150.9,151.7,152.5,150.9,2
2008-01-05,SOUTHERN RIVER,diesel,150.9,151.7,152.5,150.9,2
2008-01-06,SOUTHERN RIVER,diesel,151.9,152.2,152.5,151.9,2
2008-01-07,SOUTHERN RIVER,diesel,151.9,152.2,152.5,151.9,2
2008-01-08,SOUTHERN RIVER,diesel,151.9,152.2,152.5,151.9,2
2008-01-09,SOUTHERN RIVER,diesel,151.9,152.2,152.5,151.9,2
2008-01-10,SOUTHERN RIVER,diesel,151.9,152.2,152.5,151.9,2
2008-01-11,SOUTHERN RIVER,diesel,151.9,152.2,152.5,151.9,2
