date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,CANNING VALE,diesel,84.5,84.7,85.4,84.5,4
2002-01-02,CANNING VALE,diesel,84.5,85.1,85.9,84.5,4
2002-01-03,CANNING VALE,diesel,84.5,85.1,85.9,84.5,4
2002-01-04,CANNING VALE,diesel,84.5,85.1,85.9,84.5,4
2002-01-05,CANNING VALE,diesel,84.5,85.1,85.9,84.5,4
2002-01-06,CANNING VALE,diesel,84.5,85.1,85.9,84.5,4
2002-01-07,CANNING VALE,diesel,84.5,85.1,85.9,84.5,4
2002-01-08,CANNING VALE,diesel,84.5,85.1,85.9,84.5,4
2002-01-09,CANNING VALE,diesel,84.5,85.1,85.9,84.5,4
2002-01-10,CANNING VALE,diesel,84.5,85.2,86.5,84.5,4
2002-01-11,CANNING VALE,diesel,84.5,85.6,86.5,84.5,4
2002-01-12,CANNING VALE,diesel,84.5,85.6,86.5,84.5,4
2002-01-13,CANNING VALE,diesel,84.5,85.6,86.5,84.5,4
2002-01-14,CANNING VALE,diesel,84.5,85.6,86.5,84.5,4
2002-01-15,CANNING VALE,diesel,84.5,85.6,86.5,84.5,4
2002-01-16,CANNING VALE,diesel,84.4,85.3,86.5,84.4,4
2002-01-17,CANNING VALE,diesel,84.4,85.3,86.5,84.4,4
2002-01-18,CANNING VALE,diesel,84.4,85.3,86.5,84.4,4
2002-01-19,CANNING VALE,diesel,84.4,85.2,85.9,84.4,4
2002-01-20,CANNING VALE,diesel,84.4,84.9,85.9,84.4,4
2002-01-21,CANNING VALE,diesel,84.4,84.9,85.9,84.4,4
2002-01-22,CANNING VALE,diesel,84.4,84.7,84.9,84.4,4
2002-01-23,CANNING VALE,diesel,84.4,84.7,84.9,84.4,4
2002-01-24,CANNING VALE,diesel,83.9,84.5,84.9,83.9,4
2002-01-25,CANNING VALE,diesel,83.5,84.4,84.9,83.5,4
2002-01-26,CANNING VALE,diesel,83.5,84.0,84.9,83.5,4
2002-01-27,CANNING VALE,diesel,83.5,84.0,84.9,83.5,4
2002-01-28,CANNING VALE,diesel,83.5,84.0,84.9,83.5,4
2002-01-29,CANNING VALE,diesel,83.5,84.0,84.9,83.5,4
2002-01-30,CANNING VALE,diesel,83.5,84.0,84.9,83.5,4
2002-01-31,CANNING VALE,diesel,83.5,84.0,84.9,83.5,4
2002-02-01,CANNING VALE,diesel,83.5,84.0,84.9,83.5,4
2002-02-02,CANNING VALE,diesel,83.5,84.0,84.9,83.5,4
2002-02-03,CANNING VALE,diesel,83.5,84.0,84.9,83.5,4
2002-02-04,CANNING VALE,diesel,83.5,84.0,84.9,83.5,4
2002-02-05,CANNING VALE,diesel,83.5,84.0,84.9,83.5,4
2002-02-06,CANNING VALE,diesel,83.5,84.0,84.9,83.5,4
2002-02-07,CANNING VALE,diesel,83.5,84.0,84.9,83.5,4
2002-02-08,CANNING VALE,diesel,83.5,84.0,84.9,83.5,4
2002-02-09,CANNING VALE,diesel,83.5,84.0,84.9,83.5,4
2002-02-10,CANNING VALE,diesel,83.5,84.0,84.9,83.5,4
2002-02-11,CANNING VALE,diesel,83.5,83.7,83.9,83.5,4
2002-02-12,CANNING VALE,diesel,82.9,83.6,83.9,82.9,4
2002-02-13,CANNING VALE,diesel,82.9,83.6,83.9,82.9,4
2002-02-14,CANNING VALE,diesel,82.9,83.4,83.9,82.9,4
2002-02-15,CANNING VALE,diesel,82.9,83.4,83.9,82.9,4
2002-02-16,CANNING VALE,diesel,82.9,83.4,83.9,82.9,4
2002-02-17,CANNING VALE,diesel,82.9,83.4,83.9,82.9,4
2002-02-18,CANNING VALE,diesel,82.9,83.4,83.9,82.9,4
2002-02-19,CANNING VALE,diesel,82.9,83.4,83.9,82.9,4
2002-02-20,CANNING VALE,diesel,82.9,83.4,83.9,82.9,4
2002-02-21,CANNING VALE,diesel,82.9,83.4,83.9,82.9,4
2002-02-22,CANNING VALE,diesel,82.9,83.4,83.9,82.9,4
2002-02-23,CANNING VALE,diesel,82.9,83.4,83.9,82.9,4
2002-02-24,CANNING VALE,diesel,82.9,83.4,83.9,82.9,4
2002-02-25,CANNING VALE,diesel,82.9,83.4,83.9,82.9,4
2002-02-26,CANNING VALE,diesel,82.9,83.3,83.9,82.9,5
2002-02-27,CANNING VALE,diesel,82.9,83.3,83.9,82.9,5
2002-02-28,CANNING VALE,diesel,82.9,83.3,83.9,82.9,5
2003-01-01,CANNING VALE,diesel,93.9,95.1,95.9,93.9,5
2003-01-02,CANNING VALE,diesel,93.9,95.7,96.9,93.9,5
2003-01-03,CANNING VALE,diesel,95.9,96.1,96.9,95.9,5
2003-01-04,CANNING VALE,diesel,95.9,96.1,96.9,95.9,5
2003-01-05,CANNING VALE,diesel,95.9,96.5,98.9,95.9,5
2003-01-06,CANNING VALE,diesel,95.9,96.5,98.9,95.9,5
2003-01-07,CANNING VALE,diesel,95.9,96.5,98.9,95.9,5
2003-01-08,CANNING VALE,diesel,95.9,96.9,98.9,95.9,5
2003-01-09,CANNING VALE,diesel,95.9,96.9,98.9,95.9,5
2003-01-10,CANNING VALE,diesel,95.9,96.7,97.9,95.9,5
2003-01-11,CANNING VALE,diesel,95.9,96.7,97.9,95.9,5
2003-01-12,CANNING VALE,diesel,95.9,96.7,97.9,95.9,5
2003-01-13,CANNING VALE,diesel,95.9,96.7,97.9,95.9,5
2003-01-14,CANNING VALE,diesel,95.9,96.5,97.9,95.9,5
2003-01-15,CANNING VALE,diesel,95.9,96.1,96.9,95.9,5
2003-01-16,CANNING VALE,diesel,95.9,96.1,96.9,95.9,5
2003-01-17,CANNING VALE,diesel,95.9,96.1,96.9,95.9,5
2003-01-18,CANNING VALE,diesel,95.9,96.1,96.9,95.9,5
2003-01-19,CANNING VALE,diesel,95.9,96.1,96.9,95.9,5
2003-01-20,CANNING VALE,diesel,95.9,96.1,96.9,95.9,5
2003-01-21,CANNING VALE,diesel,95.9,96.1,96.9,95.9,5
2003-01-22,CANNING VALE,diesel,95.9,96.1,96.9,95.9,5
2003-01-23,CANNING VALE,diesel,95.9,96.1,96.9,95.9,5
2003-01-24,CANNING VALE,diesel,95.9,96.1,96.9,95.9,5
2003-01-25,CANNING VALE,diesel,95.9,96.3,96.9,95.9,5
2003-01-26,CANNING VALE,diesel,95.9,96.3,96.9,95.9,5
2003-01-27,CANNING VALE,diesel,95.9,96.3,96.9,95.9,5
2003-01-28,CANNING VALE,diesel,95.9,96.3,96.9,95.9,5
2003-01-29,CANNING VALE,diesel,95.9,96.4,96.9,95.9,5
2003-01-30,CANNING VALE,diesel,95.9,96.6,97.9,95.9,5
2003-01-31,CANNING VALE,diesel,95.9,96.6,97.9,95.9,5
2003-02-01,CANNING VALE,diesel,95.9,96.6,97.9,95.9,5
2003-02-02,CANNING VALE,diesel,95.9,96.6,96.9,95.9,5
2003-02-03,CANNING VALE,diesel,95.9,96.6,96.9,95.9,5
2003-02-04,CANNING VALE,diesel,95.9,96.6,96.9,95.9,5
2003-02-05,CANNING VALE,diesel,95.9,96.6,96.9,95.9,5
2003-02-06,CANNING VALE,diesel,95.9,96.6,96.9,95.9,5
2003-02-07,CANNING VALE,diesel,95.9,96.6,96.9,95.9,5
2003-02-08,CANNING VALE,diesel,95.9,96.6,96.9,95.9,5
2003-02-09,CANNING VALE,diesel,95.9,96.8,97.9,95.9,5
2003-02-10,CANNING VALE,diesel,95.9,97.0,97.9,95.9,5
2003-02-11,CANNING VALE,diesel,95.9,97.0,97.9,95.9,5
2003-02-12,CANNING VALE,diesel,95.9,98.3,102.9,95.9,5
2003-02-13,CANNING VALE,diesel,95.9,98.1,102.9,95.9,5
2003-02-14,CANNING VALE,diesel,96.9,99.1,102.9,96.9,5
2003-02-15,CANNING VALE,diesel,98.9,100.7,102.9,98.9,5
2003-02-16,CANNING VALE,diesel,98.9,101.3,102.9,98.9,5
2003-02-17,CANNING VALE,diesel,98.9,101.3,102.9,98.9,5
2003-02-18,CANNING VALE,diesel,98.9,101.5,103.9,98.9,5
2003-02-19,CANNING VALE,diesel,98.9,101.5,103.9,98.9,5
2003-02-20,CANNING VALE,diesel,99.9,102.1,103.9,99.9,5
2003-02-21,CANNING VALE,diesel,99.9,101.9,102.9,99.9,5
2003-02-22,CANNING VALE,diesel,101.9,102.7,102.9,101.9,5
2003-02-23,CANNING VALE,diesel,101.9,102.7,102.9,101.9,5
2003-02-24,CANNING VALE,diesel,101.9,102.7,102.9,101.9,5
2003-02-25,CANNING VALE,diesel,101.9,102.7,102.9,101.9,5
2003-02-26,CANNING VALE,diesel,101.9,102.7,102.9,101.9,5
2003-02-27,CANNING VALE,diesel,101.5,102.4,102.9,101.5,5
2003-02-28,CANNING VALE,diesel,101.5,102.4,102.9,101.5,5
2004-01-01,CANNING VALE,diesel,90.9,92.1,92.9,90.9,4
2004-01-02,CANNING VALE,diesel,90.9,92.1,92.9,90.9,4
2004-01-03,CANNING VALE,diesel,91.5,92.6,92.9,91.5,4
2004-01-04,CANNING VALE,diesel,91.5,92.6,92.9,91.5,4
2004-01-05,CANNING VALE,diesel,90.9,92.1,92.9,90.9,4
2004-01-06,CANNING VALE,diesel,91.5,92.6,92.9,91.5,4
2004-01-07,CANNING VALE,diesel,92.5,92.8,92.9,92.5,4
2004-01-08,CANNING VALE,diesel,92.5,92.8,92.9,92.5,4
2004-01-09,CANNING VALE,diesel,92.5,92.8,92.9,92.5,4
2004-01-10,CANNING VALE,diesel,92.5,92.8,92.9,92.5,4
2004-01-11,CANNING VALE,diesel,92.5,92.8,92.9,92.5,4
2004-01-12,CANNING VALE,diesel,92.9,93.2,93.9,92.9,4
2004-01-13,CANNING VALE,diesel,92.9,93.2,93.9,92.9,4
2004-01-14,CANNING VALE,diesel,92.9,93.9,94.9,92.9,4
2004-01-15,CANNING VALE,diesel,92.9,94.2,94.9,92.9,4
2004-01-16,CANNING VALE,diesel,92.9,94.4,94.9,92.9,4
2004-01-17,CANNING VALE,diesel,93.9,94.7,94.9,93.9,4
2004-01-18,CANNING VALE,diesel,93.9,94.4,94.9,93.9,4
2004-01-19,CANNING VALE,diesel,93.9,94.7,94.9,93.9,4
2004-01-20,CANNING VALE,diesel,93.9,94.7,94.9,93.9,4
2004-01-21,CANNING VALE,diesel,93.9,94.7,94.9,93.9,4
2004-01-22,CANNING VALE,diesel,93.9,94.7,94.9,93.9,4
2004-01-23,CANNING VALE,diesel,93.9,94.7,94.9,93.9,4
2004-01-24,CANNING VALE,diesel,93.9,94.7,94.9,93.9,4
2004-01-25,CANNING VALE,diesel,93.9,94.7,94.9,93.9,4
2004-01-26,CANNING VALE,diesel,93.9,94.7,94.9,93.9,4
2004-01-27,CANNING VALE,diesel,93.9,94.7,94.9,93.9,4
2004-01-28,CANNING VALE,diesel,93.9,94.7,94.9,93.9,4
2004-01-29,CANNING VALE,diesel,94.9,94.9,94.9,94.9,4
2004-01-30,CANNING VALE,diesel,94.9,95.2,95.9,94.9,4
2004-01-31,CANNING VALE,diesel,94.9,95.4,95.9,94.9,4
2004-02-01,CANNING VALE,diesel,94.9,95.4,95.9,94.9,4
2004-02-02,CANNING VALE,diesel,94.9,95.4,95.9,94.9,4
2004-02-03,CANNING VALE,diesel,94.9,95.4,95.9,94.9,4
2004-02-04,CANNING VALE,diesel,94.9,95.2,95.9,94.9,4
2004-02-05,CANNING VALE,diesel,94.9,95.2,95.9,94.9,4
2004-02-06,CANNING VALE,diesel,94.9,95.2,95.9,94.9,4
2004-02-07,CANNING VALE,diesel,94.9,95.2,95.9,94.9,4
2004-02-08,CANNING VALE,diesel,94.5,95.1,95.9,94.5,4
2004-02-09,CANNING VALE,diesel,93.9,94.6,94.9,93.9,4
2004-02-10,CANNING VALE,diesel,93.9,94.6,94.9,93.9,4
2004-02-11,CANNING VALE,diesel,92.9,94.1,94.9,92.9,4
2004-02-12,CANNING VALE,diesel,92.9,94.2,94.9,92.9,4
2004-02-13,CANNING VALE,diesel,92.5,93.6,94.9,92.5,4
2004-02-14,CANNING VALE,diesel,92.5,93.6,94.9,92.5,4
2004-02-15,CANNING VALE,diesel,92.9,93.7,94.9,92.9,4
2004-02-16,CANNING VALE,diesel,92.9,93.7,94.9,92.9,4
2004-02-17,CANNING VALE,diesel,92.9,93.9,94.9,92.9,4
2004-02-18,CANNING VALE,diesel,92.9,93.9,94.9,92.9,4
2004-02-19,CANNING VALE,diesel,92.9,93.9,94.9,92.9,4
2004-02-20,CANNING VALE,diesel,92.9,93.9,94.9,92.9,4
2004-02-21,CANNING VALE,diesel,92.9,93.9,94.9,92.9,4
2004-02-22,CANNING VALE,diesel,92.9,93.9,94.9,92.9,4
2004-02-23,CANNING VALE,diesel,92.9,93.9,94.9,92.9,4
2004-02-24,CANNING VALE,diesel,92.9,93.9,94.9,92.9,4
2004-02-25,CANNING VALE,diesel,92.9,93.9,94.9,92.9,4
2004-02-26,CANNING VALE,diesel,92.9,93.8,94.9,92.9,4
2004-02-27,CANNING VALE,diesel,92.9,93.8,94.9,92.9,4
2004-02-28,CANNING VALE,diesel,92.9,93.9,94.9,92.9,4
2004-02-29,CANNING VALE,diesel,92.9,93.9,94.9,92.9,4
2005-01-01,CANNING VALE,diesel,104.9,106.5,107.9,104.9,5
2005-01-02,CANNING VALE,diesel,104.9,106.5,107.9,104.9,5
2005-01-03,CANNING VALE,diesel,104.9,106.5,107.9,104.9,5
2005-01-04,CANNING VALE,diesel,104.9,106.3,107.9,104.9,5
2005-01-05,CANNING VALE,diesel,104.9,106.3,107.9,104.9,5
2005-01-06,CANNING VALE,diesel,104.9,106.3,107.9,104.9,5
2005-01-07,CANNING VALE,diesel,104.9,106.3,107.9,104.9,5
2005-01-08,CANNING VALE,diesel,104.9,106.3,107.9,104.9,5
2005-01-09,CANNING VALE,diesel,104.9,106.1,107.9,104.9,5
2005-01-10,CANNING VALE,diesel,104.9,105.7,107.9,104.9,5
2005-01-11,CANNING VALE,diesel,104.9,105.7,107.9,104.9,5
2005-01-12,CANNING VALE,diesel,104.9,105.7,107.9,104.9,5
2005-01-13,CANNING VALE,diesel,103.9,105.1,105.9,103.9,5
2005-01-14,CANNING VALE,diesel,103.9,104.3,104.9,103.9,5
2005-01-15,CANNING VALE,diesel,103.9,104.3,104.9,103.9,5
2005-01-16,CANNING VALE,diesel,103.9,104.3,104.9,103.9,5
2005-01-17,CANNING VALE,diesel,103.9,104.3,104.9,103.9,5
2005-01-18,CANNING VALE,diesel,103.9,104.5,104.9,103.9,5
2005-01-19,CANNING VALE,diesel,103.9,104.5,104.9,103.9,5
2005-01-20,CANNING VALE,diesel,103.9,104.5,104.9,103.9,5
2005-01-21,CANNING VALE,diesel,102.9,104.3,104.9,102.9,5
2005-01-22,CANNING VALE,diesel,102.9,104.1,104.9,102.9,5
2005-01-23,CANNING VALE,diesel,102.9,104.1,104.9,102.9,5
2005-01-24,CANNING VALE,diesel,102.9,104.5,105.9,102.9,5
2005-01-25,CANNING VALE,diesel,102.9,104.7,105.9,102.9,5
2005-01-26,CANNING VALE,diesel,102.9,104.7,105.9,102.9,5
2005-01-27,CANNING VALE,diesel,102.9,104.7,105.9,102.9,5
2005-01-28,CANNING VALE,diesel,102.9,104.8,105.9,102.9,5
2005-01-29,CANNING VALE,diesel,103.5,104.9,105.9,103.5,5
2005-01-30,CANNING VALE,diesel,103.5,104.9,105.9,103.5,5
2005-01-31,CANNING VALE,diesel,103.5,105.3,106.9,103.5,5
2005-02-01,CANNING VALE,diesel,103.5,105.4,106.9,103.5,5
2005-02-02,CANNING VALE,diesel,103.9,105.5,106.9,103.9,5
2005-02-03,CANNING VALE,diesel,103.9,105.5,106.9,103.9,5
2005-02-04,CANNING VALE,diesel,103.9,105.6,106.9,103.9,5
2005-02-05,CANNING VALE,diesel,104.5,105.7,106.9,104.5,5
2005-02-06,CANNING VALE,diesel,104.5,105.7,106.9,104.5,5
2005-02-07,CANNING VALE,diesel,104.5,105.7,106.9,104.5,5
2005-02-08,CANNING VALE,diesel,104.5,105.9,106.9,104.5,5
2005-02-09,CANNING VALE,diesel,104.5,105.9,106.9,104.5,5
2005-02-10,CANNING VALE,diesel,104.5,105.9,106.9,104.5,5
2005-02-11,CANNING VALE,diesel,104.5,105.9,106.9,104.5,5
2005-02-12,CANNING VALE,diesel,104.5,105.9,106.9,104.5,5
2005-02-13,CANNING VALE,diesel,104.5,105.9,106.9,104.5,5
2005-02-14,CANNING VALE,diesel,104.5,105.9,106.9,104.5,5
2005-02-15,CANNING VALE,diesel,104.5,105.9,106.9,104.5,5
2005-02-16,CANNING VALE,diesel,104.5,105.9,106.9,104.5,5
2005-02-17,CANNING VALE,diesel,104.5,105.9,106.9,104.5,5
2005-02-18,CANNING VALE,diesel,104.5,105.9,106.9,104.5,5
2005-02-19,CANNING VALE,diesel,104.5,105.9,106.9,104.5,5
2005-02-20,CANNING VALE,diesel,104.5,105.9,106.9,104.5,5
2005-02-21,CANNING VALE,diesel,104.5,105.9,106.9,104.5,5
2005-02-22,CANNING VALE,diesel,104.5,105.9,106.9,104.5,5
2005-02-23,CANNING VALE,diesel,104.5,105.9,106.9,104.5,5
2005-02-24,CANNING VALE,diesel,104.5,105.7,106.9,104.5,5
2005-02-25,CANNING VALE,diesel,104.5,105.9,106.9,104.5,5
2005-02-26,CANNING VALE,diesel,105.5,106.1,106.9,105.5,5
2005-02-27,CANNING VALE,diesel,105.5,106.1,106.9,105.5,5
2005-02-28,CANNING VALE,diesel,105.5,106.5,107.9,105.5,5
2006-01-01,CANNING VALE,diesel,122.9,125.1,125.9,122.9,5
2006-01-02,CANNING VALE,diesel,122.9,125.3,125.9,122.9,5
2006-01-03,CANNING VALE,diesel,125.9,125.9,125.9,125.9,5
2006-01-04,CANNING VALE,diesel,125.9,126.3,126.9,125.9,5
2006-01-05,CANNING VALE,diesel,125.9,126.9,127.9,125.9,5
2006-01-06,CANNING VALE,diesel,125.9,127.1,127.9,125.9,5
2006-01-07,CANNING VALE,diesel,126.9,127.7,128.9,126.9,5
2006-01-08,CANNING VALE,diesel,126.9,127.7,128.9,126.9,5
2006-01-09,CANNING VALE,diesel,126.9,127.7,128.9,126.9,5
2006-01-10,CANNING VALE,diesel,126.9,128.1,128.9,126.9,5
2006-01-11,CANNING VALE,diesel,127.9,128.5,128.9,127.9,5
2006-01-12,CANNING VALE,diesel,127.9,128.7,129.9,127.9,5
2006-01-13,CANNING VALE,diesel,128.5,129.2,129.9,128.5,5
2006-01-14,CANNING VALE,diesel,128.5,129.2,129.9,128.5,5
2006-01-15,CANNING VALE,diesel,128.5,129.2,129.9,128.5,5
2006-01-16,CANNING VALE,diesel,128.5,129.2,129.9,128.5,5
2006-01-17,CANNING VALE,diesel,128.5,129.2,129.9,128.5,5
2006-01-18,CANNING VALE,diesel,128.5,129.2,129.9,128.5,5
2006-01-19,CANNING VALE,diesel,128.5,129.2,129.9,128.5,5
2006-01-20,CANNING VALE,diesel,128.9,129.4,129.9,128.9,5
2006-01-21,CANNING VALE,diesel,129.5,129.7,129.9,129.5,5
2006-01-22,CANNING VALE,diesel,129.5,129.9,130.9,129.5,5
2006-01-23,CANNING VALE,diesel,129.5,129.9,130.9,129.5,5
2006-01-24,CANNING VALE,diesel,129.5,130.3,131.5,129.5,5
2006-01-25,CANNING VALE,diesel,129.9,131.0,131.9,129.9,5
2006-01-26,CANNING VALE,diesel,129.9,131.0,131.9,129.9,5
2006-01-27,CANNING VALE,diesel,130.9,131.7,132.9,130.9,5
2006-01-28,CANNING VALE,diesel,131.5,132.5,133.5,131.5,5
2006-01-29,CANNING VALE,diesel,131.9,132.8,133.5,131.9,5
2006-01-30,CANNING VALE,diesel,131.9,132.8,133.5,131.9,5
2006-01-31,CANNING VALE,diesel,132.9,133.8,134.9,132.9,5
2006-02-01,CANNING VALE,diesel,132.9,134.0,134.9,132.9,5
2006-02-02,CANNING VALE,diesel,133.9,134.4,134.9,133.9,5
2006-02-03,CANNING VALE,diesel,133.9,134.6,135.9,133.9,5
2006-02-04,CANNING VALE,diesel,133.9,135.2,135.9,133.9,5
2006-02-05,CANNING VALE,diesel,133.9,135.2,135.9,133.9,5
2006-02-06,CANNING VALE,diesel,133.9,135.2,135.9,133.9,5
2006-02-07,CANNING VALE,diesel,133.5,135.0,135.9,133.5,5
2006-02-08,CANNING VALE,diesel,133.5,134.9,135.9,133.5,5
2006-02-09,CANNING VALE,diesel,133.5,134.7,135.9,133.5,5
2006-02-10,CANNING VALE,diesel,131.5,134.3,135.9,131.5,5
2006-02-11,CANNING VALE,diesel,131.5,133.9,135.9,131.5,5
2006-02-12,CANNING VALE,diesel,131.5,133.1,134.9,131.5,5
2006-02-13,CANNING VALE,diesel,131.5,133.1,134.9,131.5,5
2006-02-14,CANNING VALE,diesel,131.5,133.2,134.9,131.5,5
2006-02-15,CANNING VALE,diesel,131.9,132.9,133.9,131.9,5
2006-02-16,CANNING VALE,diesel,131.9,132.9,133.9,131.9,5
2006-02-17,CANNING VALE,diesel,131.9,133.2,133.9,131.9,5
2006-02-18,CANNING VALE,diesel,132.9,133.5,133.9,132.9,5
2006-02-19,CANNING VALE,diesel,133.5,133.7,133.9,133.5,5
2006-02-20,CANNING VALE,diesel,133.5,134.4,134.9,133.5,5
2006-02-21,CANNING VALE,diesel,133.9,134.5,134.9,133.9,5
2006-02-22,CANNING VALE,diesel,133.9,134.5,134.9,133.9,5
2006-02-23,CANNING VALE,diesel,133.9,134.5,134.9,133.9,5
2006-02-24,CANNING VALE,diesel,133.9,134.8,135.5,133.9,5
2006-02-25,CANNING VALE,diesel,133.9,134.7,135.5,133.9,5
2006-02-26,CANNING VALE,diesel,133.9,134.8,135.5,133.9,5
2006-02-27,CANNING VALE,diesel,133.9,134.8,135.5,133.9,5
2006-02-28,CANNING VALE,diesel,133.9,134.8,135.5,133.9,5
2007-01-01,CANNING VALE,diesel,125.5,126.8,127.9,125.5,5
2007-01-02,CANNING VALE,diesel,125.5,126.8,127.9,125.5,5
2007-01-03,CANNING VALE,diesel,125.5,126.8,127.9,125.5,5
2007-01-04,CANNING VALE,diesel,124.5,126.6,127.9,124.5,5
2007-01-05,CANNING VALE,diesel,124.5,126.6,127.9,124.5,5
2007-01-06,CANNING VALE,diesel,124.5,126.3,127.9,124.5,5
2007-01-07,CANNING VALE,diesel,124.5,125.9,126.9,124.5,5
2007-01-08,CANNING VALE,diesel,124.5,125.9,126.9,124.5,5
2007-01-09,CANNING VALE,diesel,123.9,125.8,126.9,123.9,5
2007-01-10,CANNING VALE,diesel,123.9,125.8,126.9,123.9,5
2007-01-11,CANNING VALE,diesel,123.9,125.8,126.9,123.9,5
2007-01-12,CANNING VALE,diesel,123.9,125.8,126.9,123.9,5
2007-01-13,CANNING VALE,diesel,123.5,124.6,125.9,123.5,5
2007-01-14,CANNING VALE,diesel,123.5,124.6,125.9,123.5,5
2007-01-15,CANNING VALE,diesel,122.5,123.9,124.9,122.5,5
2007-01-16,CANNING VALE,diesel,122.5,123.7,124.9,122.5,5
2007-01-17,CANNING VALE,diesel,122.5,123.7,124.9,122.5,5
2007-01-18,CANNING VALE,diesel,122.5,123.7,124.9,122.5,5
2007-01-19,CANNING VALE,diesel,122.5,123.7,124.9,122.5,5
2007-01-20,CANNING VALE,diesel,121.9,123.5,124.9,121.9,5
2007-01-21,CANNING VALE,diesel,121.9,123.3,124.9,121.9,5
2007-01-22,CANNING VALE,diesel,121.9,123.3,124.9,121.9,5
2007-01-23,CANNING VALE,diesel,121.9,122.7,123.5,121.9,5
2007-01-24,CANNING VALE,diesel,121.9,122.7,123.5,121.9,5
2007-01-25,CANNING VALE,diesel,121.5,122.5,123.5,121.5,5
2007-01-26,CANNING VALE,diesel,120.9,122.3,123.5,120.9,5
2007-01-27,CANNING VALE,diesel,120.9,121.9,123.5,120.9,5
2007-01-28,CANNING VALE,diesel,120.9,121.4,121.9,120.9,5
2007-01-29,CANNING VALE,diesel,120.5,121.2,121.9,120.5,5
2007-01-30,CANNING VALE,diesel,120.5,121.2,121.9,120.5,5
2007-01-31,CANNING VALE,diesel,120.5,121.2,121.9,120.5,5
2007-02-01,CANNING VALE,diesel,119.9,120.8,121.9,119.9,5
2007-02-02,CANNING VALE,diesel,119.9,120.8,121.5,119.9,5
2007-02-03,CANNING VALE,diesel,119.9,120.8,121.5,119.9,5
2007-02-04,CANNING VALE,diesel,119.9,120.9,121.9,119.9,5
2007-02-05,CANNING VALE,diesel,119.9,121.3,122.9,119.9,5
2007-02-06,CANNING VALE,diesel,119.9,122.0,122.9,119.9,5
2007-02-07,CANNING VALE,diesel,119.9,122.2,122.9,119.9,5
