date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,WEMBLEY DOWNS,diesel,88.9,88.9,88.9,88.9,1
2002-01-02,WEMBLEY DOWNS,diesel,88.9,88.9,88.9,88.9,1
2002-01-03,WEMBLEY DOWNS,diesel,88.9,88.9,88.9,88.9,1
2002-01-04,WEMBLEY DOWNS,diesel,88.9,88.9,88.9,88.9,1
2002-01-05,WEMBLEY DOWNS,diesel,88.9,88.9,88.9,88.9,1
2002-01-06,WEMBLEY DOWNS,diesel,88.9,88.9,88.9,88.9,1
2002-01-07,WEMBLEY DOWNS,diesel,88.9,88.9,88.9,88.9,1
2002-01-08,WEMBLEY DOWNS,diesel,88.9,88.9,88.9,88.9,1
2002-01-09,WEMBLEY DOWNS,diesel,88.9,88.9,88.9,88.9,1
2002-01-10,WEMBLEY DOWNS,diesel,88.9,88.9,88.9,88.9,1
2002-01-11,WEMBLEY DOWNS,diesel,88.9,88.9,88.9,88.9,1
2002-01-12,WEMBLEY DOWNS,diesel,88.9,88.9,88.9,88.9,1
2002-01-13,WEMBLEY DOWNS,diesel,88.9,88.9,88.9,88.9,1
2002-01-14,WEMBLEY DOWNS,diesel,88.9,88.9,88.9,88.9,1
2002-01-15,WEMBLEY DOWNS,diesel,88.9,88.9,88.9,88.9,1
2002-01-16,WEMBLEY DOWNS,diesel,88.9,88.9,88.9,88.9,1
2002-01-17,WEMBLEY DOWNS,diesel,88.9,88.9,88.9,88.9,1
2002-01-18,WEMBLEY DOWNS,diesel,88.9,88.9,88.9,88.9,1
2002-01-19,WEMBLEY DOWNS,diesel,88.9,88.9,88.9,88.9,1
2002-01-20,WEMBLEY DOWNS,diesel,88.9,88.9,88.9,88.9,1
2002-01-21,WEMBLEY DOWNS,diesel,88.9,88.9,88.9,88.9,1
2002-01-22,WEMBLEY DOWNS,diesel,88.9,88.9,88.9,88.9,1
2002-01-23,WEMBLEY DOWNS,diesel,88.9,88.9,88.9,88.9,1
2002-01-24,WEMBLEY DOWNS,diesel,88.9,88.9,88.9,88.9,1
2002-01-25,WEMBLEY DOWNS,diesel,88.9,88.9,88.9,88.9,1
2002-01-26,WEMBLEY DOWNS,diesel,88.9,88.9,88.9,88.9,1
2002-01-27,WEMBLEY DOWNS,diesel,88.9,88.9,88.9,88.9,1
2002-01-28,WEMBLEY DOWNS,diesel,88.9,88.9,88.9,88.9,1
2002-01-29,WEMBLEY DOWNS,diesel,88.9,88.9,88.9,88.9,1
2002-01-30,WEMBLEY DOWNS,diesel,88.9,88.9,88.9,88.9,1
2002-01-31,WEMBLEY DOWNS,diesel,88.9,88.9,88.9,88.9,1
2002-02-01,WEMBLEY DOWNS,diesel,88.9,88.9,88.9,88.9,1
2002-02-02,WEMBLEY DOWNS,diesel,88.9,88.9,88.9,88.9,1
2002-02-03,WEMBLEY DOWNS,diesel,88.9,88.9,88.9,88.9,1
2002-02-04,WEMBLEY DOWNS,diesel,88.9,88.9,88.9,88.9,1
2002-02-05,WEMBLEY DOWNS,diesel,88.9,88.9,88.9,88.9,1
2002-02-06,WEMBLEY DOWNS,diesel,88.9,88.9,88.9,88.9,1
2002-02-07,WEMBLEY DOWNS,diesel,88.9,88.9,88.9,88.9,1
2002-02-08,WEMBLEY DOWNS,diesel,88.9,88.9,88.9,88.9,1
2002-02-09,WEMBLEY DOWNS,diesel,88.9,88.9,88.9,88.9,1
2002-02-10,WEMBLEY DOWNS,diesel,88.9,88.9,88.9,88.9,1
2002-02-11,WEMBLEY DOWNS,diesel,88.9,88.9,88.9,88.9,1
2002-02-12,WEMBLEY DOWNS,diesel,88.9,88.9,88.9,88.9,1
2002-02-13,WEMBLEY DOWNS,diesel,88.9,88.9,88.9,88.9,1
2002-02-14,WEMBLEY DOWNS,diesel,88.9,88.9,88.9,88.9,1
2002-02-15,WEMBLEY DOWNS,diesel,88.9,88.9,88.9,88.9,1
2002-02-16,WEMBLEY DOWNS,diesel,88.9,88.9,88.9,88.9,1
2002-02-17,WEMBLEY DOWNS,diesel,88.9,88.9,88.9,88.9,1
2002-02-18,WEMBLEY DOWNS,diesel,88.9,88.9,88.9,88.9,1
2002-02-19,WEMBLEY DOWNS,diesel,88.9,88.9,88.9,88.9,1
2002-02-20,WEMBLEY DOWNS,diesel,88.9,88.9,88.9,88.9,1
2002-02-21,WEMBLEY DOWNS,diesel,88.9,88.9,88.9,88.9,1
2002-02-22,WEMBLEY DOWNS,diesel,88.9,88.9,88.9,88.9,1
2002-02-23,WEMBLEY DOWNS,diesel,88.9,88.9,88.9,88.9,1
2002-02-24,WEMBLEY DOWNS,diesel,88.9,88.9,88.9,88.9,1
2002-02-25,WEMBLEY DOWNS,diesel,88.9,88.9,88.9,88.9,1
2002-02-26,WEMBLEY DOWNS,diesel,88.9,88.9,88.9,88.9,1
2002-02-27,WEMBLEY DOWNS,diesel,88.9,88.9,88.9,88.9,1
2002-02-28,WEMBLEY DOWNS,diesel,88.9,88.9,88.9,88.9,1
2003-01-01,WEMBLEY DOWNS,diesel,98.9,98.9,98.9,98.9,1
2003-01-02,WEMBLEY DOWNS,diesel,98.9,98.9,98.9,98.9,1
2003-01-03,WEMBLEY DOWNS,diesel,98.9,98.9,98.9,98.9,1
2003-01-04,WEMBLEY DOWNS,diesel,98.9,98.9,98.9,98.9,1
2003-01-05,WEMBLEY DOWNS,diesel,98.9,98.9,98.9,98.9,1
2003-01-06,WEMBLEY DOWNS,diesel,98.9,98.9,98.9,98.9,1
2003-01-07,WEMBLEY DOWNS,diesel,98.9,98.9,98.9,98.9,1
2003-01-08,WEMBLEY DOWNS,diesel,98.9,98.9,98.9,98.9,1
2003-01-09,WEMBLEY DOWNS,diesel,98.9,98.9,98.9,98.9,1
2003-01-10,WEMBLEY DOWNS,diesel,98.9,98.9,98.9,98.9,1
2003-01-11,WEMBLEY DOWNS,diesel,100.9,100.9,100.9,100.9,1
2003-01-12,WEMBLEY DOWNS,diesel,100.9,100.9,100.9,100.9,1
2003-01-13,WEMBLEY DOWNS,diesel,100.9,100.9,100.9,100.9,1
2003-01-14,WEMBLEY DOWNS,diesel,100.9,100.9,100.9,100.9,1
2003-01-15,WEMBLEY DOWNS,diesel,100.9,100.9,100.9,100.9,1
2003-01-16,WEMBLEY DOWNS,diesel,100.9,100.9,100.9,100.9,1
2003-01-17,WEMBLEY DOWNS,diesel,100.9,100.9,100.9,100.9,1
