date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,LITTLE GROVE,ulp_91,91.7,93.0,94.3,91.7,2
2002-01-02,LITTLE GROVE,ulp_91,91.7,93.0,94.3,91.7,2
2002-01-03,LITTLE GROVE,ulp_91,91.7,93.0,94.3,91.7,2
2002-01-04,LITTLE GROVE,ulp_91,91.7,93.0,94.3,91.7,2
2002-01-05,LITTLE GROVE,ulp_91,91.7,93.0,94.3,91.7,2
2002-01-06,LITTLE GROVE,ulp_91,91.7,93.0,94.3,91.7,2
2002-01-07,LITTLE GROVE,ulp_91,91.7,93.0,94.3,91.7,2
2002-01-08,LITTLE GROVE,ulp_91,91.7,93.0,94.3,91.7,2
2002-01-09,LITTLE GROVE,ulp_91,91.7,93.0,94.3,91.7,2
2002-01-10,LITTLE GROVE,ulp_91,91.7,93.0,94.3,91.7,2
2002-01-11,LITTLE GROVE,ulp_91,91.7,93.0,94.3,91.7,2
2002-01-12,LITTLE GROVE,ulp_91,91.7,93.0,94.3,91.7,2
2002-01-13,LITTLE GROVE,ulp_91,91.7,93.0,94.3,91.7,2
2002-01-14,LITTLE GROVE,ulp_91,91.7,93.0,94.3,91.7,2
2002-01-15,LITTLE GROVE,ulp_91,91.7,93.0,94.3,91.7,2
2002-01-16,LITTLE GROVE,ulp_91,89.9,91.2,92.5,89.9,2
2002-01-17,LITTLE GROVE,ulp_91,89.9,91.2,92.5,89.9,2
2002-01-18,LITTLE GROVE,ulp_91,89.9,91.2,92.5,89.9,2
2002-01-19,LITTLE GROVE,ulp_91,89.9,91.2,92.5,89.9,2
2002-01-20,LITTLE GROVE,ulp_91,89.9,91.2,92.5,89.9,2
2002-01-21,LITTLE GROVE,ulp_91,89.9,91.2,92.5,89.9,2
2002-01-22,LITTLE GROVE,ulp_91,89.9,91.2,92.5,89.9,2
2002-01-23,LITTLE GROVE,ulp_91,89.9,91.2,92.5,89.9,2
2002-01-24,LITTLE GROVE,ulp_91,89.9,91.2,92.5,89.9,2
2002-01-25,LITTLE GROVE,ulp_91,89.9,91.2,92.5,89.9,2
2002-01-26,LITTLE GROVE,ulp_91,89.9,91.2,92.5,89.9,2
2002-01-27,LITTLE GROVE,ulp_91,89.9,91.2,92.5,89.9,2
2002-01-28,LITTLE GROVE,ulp_91,89.9,91.2,92.5,89.9,2
2002-01-29,LITTLE GROVE,ulp_91,89.9,91.2,92.5,89.9,2
2002-01-30,LITTLE GROVE,ulp_91,89.9,91.2,92.5,89.9,2
