date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2004-01-01,WELLSTEAD,premium_95,109.6,109.6,109.6,109.6,1
2004-01-02,WELLSTEAD,premium_95,109.6,109.6,109.6,109.6,1
2004-01-03,WELLSTEAD,premium_95,109.6,109.6,109.6,109.6,1
2004-01-04,WELLSTEAD,premium_95,109.6,109.6,109.6,109.6,1
2004-01-05,WELLSTEAD,premium_95,109.6,109.6,109.6,109.6,1
2004-01-06,WELLSTEAD,premium_95,109.6,109.6,109.6,109.6,1
2004-01-07,WELLSTEAD,premium_95,109.6,109.6,109.6,109.6,1
2004-01-08,WELLSTEAD,premium_95,109.6,109.6,109.6,109.6,1
2004-01-09,WELLSTEAD,premium_95,109.6,109.6,109.6,109.6,1
2004-01-10,WELLSTEAD,premium_95,109.6,109.6,109.6,109.6,1
2004-01-11,WELLSTEAD,premium_95,109.6,109.6,109.6,109.6,1
2004-01-12,WELLSTEAD,premium_95,109.6,109.6,109.6,109.6,1
2004-01-13,WELLSTEAD,premium_95,111.3,111.3,111.3,111.3,1
2004-01-14,WELLSTEAD,premium_95,111.3,111.3,111.3,111.3,1
2004-01-15,WELLSTEAD,premium_95,111.3,111.3,111.3,111.3,1
2004-01-16,WELLSTEAD,premium_95,111.3,111.3,111.3,111.3,1
2004-01-17,WELLSTEAD,premium_95,113.3,113.3,113.3,113.3,1
2004-01-18,WELLSTEAD,premium_95,113.3,113.3,113.3,113.3,1
2004-01-19,WELLSTEAD,premium_95,113.3,113.3,113.3,113.3,1
2004-01-20,WELLSTEAD,premium_95,113.3,113.3,113.3,113.3,1
2004-01-21,WELLSTEAD,premium_95,113.3,113.3,113.3,113.3,1
2004-01-22,WELLSTEAD,premium_95,113.3,113.3,113.3,113.3,1
2004-01-23,WELLSTEAD,premium_95,113.3,113.3,113.3,113.3,1
2004-01-24,WELLSTEAD,premium_95,113.3,113.3,113.3,113.3,1
2004-01-25,WELLSTEAD,premium_95,113.3,113.3,113.3,113.3,1
2004-01-26,WELLSTEAD,premium_95,113.3,113.3,113.3,113.3,1
2004-01-27,WELLSTEAD,premium_95,113.3,113.3,113.3,113.3,1
2004-01-28,WELLSTEAD,premium_95,113.3,113.3,113.3,113.3,1
2004-01-29,WELLSTEAD,premium_95,113.3,113.3,113.3,113.3,1
2004-01-30,WELLSTEAD,premium_95,113.3,113.3,113.3,113.3,1
2004-01-31,WELLSTEAD,premium_95,113.3,113.3,113.3,113.3,1
2004-02-01,WELLSTEAD,premium_95,113.3,113.3,113.3,113.3,1
2004-02-02,WELLSTEAD,premium_95,113.3,113.3,113.3,113.3,1
2004-02-03,WELLSTEAD,premium_95,113.3,113.3,113.3,113.3,1
2004-02-04,WELLSTEAD,premium_95,113.3,113.3,113.3,113.3,1
2004-02-05,WELLSTEAD,premium_95,113.3,113.3,113.3,113.3,1
2004-02-06,WELLSTEAD,premium_95,113.3,113.3,113.3,113.3,1
2004-02-07,WELLSTEAD,premium_95,113.3,113.3,113.3,113.3,1
2004-02-08,WELLSTEAD,premium_95,113.3,113.3,113.3,113.3,1
2004-02-09,WELLSTEAD,premium_95,113.3,113.3,113.3,113.3,1
2004-02-10,WELLSTEAD,premium_95,113.3,113.3,113.3,113.3,1
2004-02-11,WELLSTEAD,premium_95,113.3,113.3,113.3,113.3,1
2004-02-12,WELLSTEAD,premium_95,113.3,113.3,113.3,113.3,1
2004-02-13,WELLSTEAD,premium_95,113.3,113.3,113.3,113.3,1
2004-02-14,WELLSTEAD,premium_95,113.3,113.3,113.3,113.3,1
2004-02-15,WELLSTEAD,premium_95,113.3,113.3,113.3,113.3,1
2004-02-16,WELLSTEAD,premium_95,113.3,113.3,113.3,113.3,1
2004-02-17,WELLSTEAD,premium_95,113.3,113.3,113.3,113.3,1
2004-02-18,WELLSTEAD,premium_95,113.3,113.3,113.3,113.3,1
2004-02-19,WELLSTEAD,premium_95,113.3,113.3,113.3,113.3,1
2004-02-20,WELLSTEAD,premium_95,113.3,113.3,113.3,113.3,1
2004-02-21,WELLSTEAD,premium_95,107.3,107.3,107.3,107.3,1
2004-02-22,WELLSTEAD,premium_95,107.3,107.3,107.3,107.3,1
2004-02-23,WELLSTEAD,premium_95,107.3,107.3,107.3,107.3,1
2004-02-24,WELLSTEAD,premium_95,107.3,107.3,107.3,107.3,1
2004-02-25,WELLSTEAD,premium_95,107.3,107.3,107.3,107.3,1
2004-02-26,WELLSTEAD,premium_95,107.3,107.3,107.3,107.3,1
2004-02-27,WELLSTEAD,premium_95,107.3,107.3,107.3,107.3,1
2004-02-28,WELLSTEAD,premium_95,109.3,109.3,109.3,109.3,1
2004-02-29,WELLSTEAD,premium_95,109.3,109.3,109.3,109.3,1
2005-01-01,WELLSTEAD,premium_95,114.6,114.6,114.6,114.6,1
2005-01-02,WELLSTEAD,premium_95,114.6,114.6,114.6,114.6,1
2005-01-03,WELLSTEAD,premium_95,114.6,114.6,114.6,114.6,1
2005-01-04,WELLSTEAD,premium_95,114.6,114.6,114.6,114.6,1
2005-01-05,WELLSTEAD,premium_95,114.6,114.6,114.6,114.6,1
2005-01-06,WELLSTEAD,premium_95,114.6,114.6,114.6,114.6,1
2005-01-07,WELLSTEAD,premium_95,114.6,114.6,114.6,114.6,1
2005-01-08,WELLSTEAD,premium_95,114.6,114.6,114.6,114.6,1
2005-01-09,WELLSTEAD,premium_95,114.6,114.6,114.6,114.6,1
2005-01-10,WELLSTEAD,premium_95,114.6,114.6,114.6,114.6,1
2005-01-11,WELLSTEAD,premium_95,114.6,114.6,114.6,114.6,1
2005-01-12,WELLSTEAD,premium_95,114.6,114.6,114.6,114.6,1
2005-01-13,WELLSTEAD,premium_95,114.6,114.6,114.6,114.6,1
2005-01-14,WELLSTEAD,premium_95,114.6,114.6,114.6,114.6,1
