date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,WONTHELLA,premium_95,96.9,96.9,96.9,96.9,1
2002-01-02,WONTHELLA,premium_95,96.9,96.9,96.9,96.9,1
2002-01-03,WONTHELLA,premium_95,96.9,96.9,96.9,96.9,1
2002-01-04,WONTHELLA,premium_95,96.9,96.9,96.9,96.9,1
2002-01-05,WONTHELLA,premium_95,96.9,96.9,96.9,96.9,1
2002-01-06,WONTHELLA,premium_95,96.9,96.9,96.9,96.9,1
2002-01-07,WONTHELLA,premium_95,96.9,96.9,96.9,96.9,1
2002-01-08,WONTHELLA,premium_95,96.9,96.9,96.9,96.9,1
2002-01-09,WONTHELLA,premium_95,96.9,96.9,96.9,96.9,1
2002-01-10,WONTHELLA,premium_95,96.4,96.4,96.4,96.4,1
2002-01-11,WONTHELLA,premium_95,96.4,96.4,96.4,96.4,1
2002-01-12,WONTHELLA,premium_95,96.4,96.4,96.4,96.4,1
2002-01-13,WONTHELLA,premium_95,96.4,96.4,96.4,96.4,1
2002-01-14,WONTHELLA,premium_95,96.4,96.4,96.4,96.4,1
2002-01-15,WONTHELLA,premium_95,96.4,96.4,96.4,96.4,1
2002-01-16,WONTHELLA,premium_95,96.4,96.4,96.4,96.4,1
2002-01-17,WONTHELLA,premium_95,96.4,96.4,96.4,96.4,1
2002-01-18,WONTHELLA,premium_95,96.4,96.4,96.4,96.4,1
2002-01-19,WONTHELLA,premium_95,96.4,96.4,96.4,96.4,1
2002-01-20,WONTHELLA,premium_95,96.4,96.4,96.4,96.4,1
2002-01-21,WONTHELLA,premium_95,96.4,96.4,96.4,96.4,1
2002-01-22,WONTHELLA,premium_95,96.4,96.4,96.4,96.4,1
2002-01-23,WONTHELLA,premium_95,95.1,95.1,95.1,95.1,1
2002-01-24,WONTHELLA,premium_95,95.1,95.1,95.1,95.1,1
2002-01-25,WONTHELLA,premium_95,95.1,95.1,95.1,95.1,1
2002-01-26,WONTHELLA,premium_95,95.1,95.1,95.1,95.1,1
2002-01-27,WONTHELLA,premium_95,95.1,95.1,95.1,95.1,1
2002-01-28,WONTHELLA,premium_95,95.1,95.1,95.1,95.1,1
2002-01-29,WONTHELLA,premium_95,95.1,95.1,95.1,95.1,1
2002-01-30,WONTHELLA,premium_95,95.1,95.1,95.1,95.1,1
2002-01-31,WONTHELLA,premium_95,95.9,95.9,95.9,95.9,1
2002-02-01,WONTHELLA,premium_95,95.9,95.9,95.9,95.9,1
2002-02-02,WONTHELLA,premium_95,96.4,96.4,96.4,96.4,1
2002-02-03,WONTHELLA,premium_95,96.4,96.4,96.4,96.4,1
2002-02-04,WONTHELLA,premium_95,96.4,96.4,96.4,96.4,1
2002-02-05,WONTHELLA,premium_95,96.4,96.4,96.4,96.4,1
2002-02-06,WONTHELLA,premium_95,97.5,97.5,97.5,97.5,1
2002-02-07,WONTHELLA,premium_95,97.5,97.5,97.5,97.5,1
2002-02-08,WONTHELLA,premium_95,97.5,97.5,97.5,97.5,1
2002-02-09,WONTHELLA,premium_95,97.9,97.9,97.9,97.9,1
2002-02-10,WONTHELLA,premium_95,97.9,97.9,97.9,97.9,1
2002-02-11,WONTHELLA,premium_95,97.9,97.9,97.9,97.9,1
2002-02-12,WONTHELLA,premium_95,97.9,97.9,97.9,97.9,1
2002-02-13,WONTHELLA,premium_95,98.5,98.5,98.5,98.5,1
2002-02-14,WONTHELLA,premium_95,98.5,98.5,98.5,98.5,1
2002-02-15,WONTHELLA,premium_95,99.5,99.5,99.5,99.5,1
2002-02-16,WONTHELLA,premium_95,99.5,99.5,99.5,99.5,1
2002-02-17,WONTHELLA,premium_95,99.5,99.5,99.5,99.5,1
2002-02-18,WONTHELLA,premium_95,99.5,99.5,99.5,99.5,1
2002-02-19,WONTHELLA,premium_95,99.9,99.9,99.9,99.9,1
2002-02-20,WONTHELLA,premium_95,99.9,99.9,99.9,99.9,1
2002-02-21,WONTHELLA,premium_95,99.9,99.9,99.9,99.9,1
2002-02-22,WONTHELLA,premium_95,99.9,99.9,99.9,99.9,1
2002-02-23,WONTHELLA,premium_95,99.9,99.9,99.9,99.9,1
2002-02-24,WONTHELLA,premium_95,99.9,99.9,99.9,99.9,1
2002-02-25,WONTHELLA,premium_95,99.9,99.9,99.9,99.9,1
2002-02-26,WONTHELLA,premium_95,99.9,99.9,99.9,99.9,1
2002-02-27,WONTHELLA,premium_95,99.9,99.9,99.9,99.9,1
2002-02-28,WONTHELLA,premium_95,99.9,99.9,99.9,99.9,1
2003-01-01,WONTHELLA,premium_95,108.5,108.5,108.5,108.5,2
2003-01-02,WONTHELLA,premium_95,108.5,108.5,108.5,108.5,2
2003-01-03,WONTHELLA,premium_95,108.5,108.5,108.5,108.5,2
2003-01-04,WONTHELLA,premium_95,108.5,108.5,108.5,108.5,2
2003-01-05,WONTHELLA,premium_95,108.5,108.5,108.5,108.5,2
2003-01-06,WONTHELLA,premium_95,108.5,108.5,108.5,108.5,2
2003-01-07,WONTHELLA,premium_95,108.5,108.5,108.5,108.5,2
2003-01-08,WONTHELLA,premium_95,108.5,108.5,108.5,108.5,2
2003-01-09,WONTHELLA,premium_95,108.5,108.5,108.5,108.5,2
2003-01-10,WONTHELLA,premium_95,108.5,108.5,108.5,108.5,2
2003-01-11,WONTHELLA,premium_95,108.5,108.5,108.5,108.5,2
2003-01-12,WONTHELLA,premium_95,108.5,108.5,108.5,108.5,2
2003-01-13,WONTHELLA,premium_95,108.5,108.5,108.5,108.5,2
2003-01-14,WONTHELLA,premium_95,109.5,109.5,109.5,109.5,2
2003-01-15,WONTHELLA,premium_95,109.5,109.5,109.5,109.5,2
2003-01-16,WONTHELLA,premium_95,109.5,109.5,109.5,109.5,2
2003-01-17,WONTHELLA,premium_95,109.5,109.5,109.5,109.5,2
2003-01-18,WONTHELLA,premium_95,109.5,109.5,109.5,109.5,2
2003-01-19,WONTHELLA,premium_95,109.5,109.5,109.5,109.5,2
2003-01-20,WONTHELLA,premium_95,109.5,109.5,109.5,109.5,2
2003-01-21,WONTHELLA,premium_95,109.5,109.5,109.5,109.5,2
2003-01-22,WONTHELLA,premium_95,109.5,109.5,109.5,109.5,2
2003-01-23,WONTHELLA,premium_95,109.5,109.5,109.5,109.5,2
2003-01-24,WONTHELLA,premium_95,109.5,109.5,109.5,109.5,2
2003-01-25,WONTHELLA,premium_95,109.5,109.5,109.5,109.5,2
2003-01-26,WONTHELLA,premium_95,109.5,109.5,109.5,109.5,2
2003-01-27,WONTHELLA,premium_95,109.5,109.5,109.5,109.5,2
2003-01-28,WONTHELLA,premium_95,109.5,109.5,109.5,109.5,2
2003-01-29,WONTHELLA,premium_95,110.5,110.5,110.5,110.5,2
2003-01-30,WONTHELLA,premium_95,110.5,110.5,110.5,110.5,2
2003-01-31,WONTHELLA,premium_95,110.5,110.5,110.5,110.5,2
2003-02-01,WONTHELLA,premium_95,110.5,110.5,110.5,110.5,2
2003-02-02,WONTHELLA,premium_95,110.5,110.5,110.5,110.5,2
2003-02-03,WONTHELLA,premium_95,110.5,110.5,110.5,110.5,2
2003-02-04,WONTHELLA,premium_95,111.5,111.5,111.5,111.5,2
2003-02-05,WONTHELLA,premium_95,111.5,111.5,111.5,111.5,2
2003-02-06,WONTHELLA,premium_95,111.5,111.5,111.5,111.5,2
2003-02-07,WONTHELLA,premium_95,111.5,111.5,111.5,111.5,2
2003-02-08,WONTHELLA,premium_95,111.5,111.5,111.5,111.5,2
2003-02-09,WONTHELLA,premium_95,111.5,111.5,111.5,111.5,2
2003-02-10,WONTHELLA,premium_95,111.5,111.5,111.5,111.5,2
2003-02-11,WONTHELLA,premium_95,112.6,112.6,112.6,112.6,2
2003-02-12,WONTHELLA,premium_95,112.6,112.6,112.6,112.6,2
2003-02-13,WONTHELLA,premium_95,112.6,112.6,112.6,112.6,2
2003-02-14,WONTHELLA,premium_95,112.6,112.6,112.6,112.6,2
2003-02-15,WONTHELLA,premium_95,112.6,112.6,112.6,112.6,2
2003-02-16,WONTHELLA,premium_95,112.6,112.6,112.6,112.6,2
2003-02-17,WONTHELLA,premium_95,112.6,112.6,112.6,112.6,2
2003-02-18,WONTHELLA,premium_95,113.9,113.9,113.9,113.9,2
2003-02-19,WONTHELLA,premium_95,113.9,113.9,113.9,113.9,2
2003-02-20,WONTHELLA,premium_95,113.9,113.9,113.9,113.9,2
2003-02-21,WONTHELLA,premium_95,113.9,113.9,113.9,113.9,2
2003-02-22,WONTHELLA,premium_95,114.9,114.9,114.9,114.9,2
2003-02-23,WONTHELLA,premium_95,114.9,114.9,114.9,114.9,2
2003-02-24,WONTHELLA,premium_95,114.9,114.9,114.9,114.9,2
2003-02-25,WONTHELLA,premium_95,114.9,114.9,114.9,114.9,2
2003-02-26,WONTHELLA,premium_95,114.9,114.9,114.9,114.9,2
2003-02-27,WONTHELLA,premium_95,114.9,114.9,114.9,114.9,2
2003-02-28,WONTHELLA,premium_95,115.9,115.9,115.9,115.9,2
2004-01-01,WONTHELLA,premium_95,106.5,106.5,106.5,106.5,2
2004-01-02,WONTHELLA,premium_95,106.5,106.5,106.5,106.5,2
2004-01-03,WONTHELLA,premium_95,106.5,106.5,106.5,106.5,2
2004-01-04,WONTHELLA,premium_95,106.5,106.5,106.5,106.5,2
2004-01-05,WONTHELLA,premium_95,106.5,106.5,106.5,106.5,2
2004-01-06,WONTHELLA,premium_95,106.5,106.5,106.5,106.5,2
2004-01-07,WONTHELLA,premium_95,106.5,106.5,106.5,106.5,2
2004-01-08,WONTHELLA,premium_95,106.5,106.5,106.5,106.5,2
2004-01-09,WONTHELLA,premium_95,107.8,107.8,107.8,107.8,2
2004-01-10,WONTHELLA,premium_95,107.8,107.8,107.8,107.8,2
2004-01-11,WONTHELLA,premium_95,107.8,107.8,107.8,107.8,2
2004-01-12,WONTHELLA,premium_95,107.8,107.8,107.8,107.8,2
2004-01-13,WONTHELLA,premium_95,107.8,107.8,107.8,107.8,2
2004-01-14,WONTHELLA,premium_95,108.8,108.8,108.8,108.8,2
2004-01-15,WONTHELLA,premium_95,108.8,108.8,108.8,108.8,2
2004-01-16,WONTHELLA,premium_95,109.5,109.5,109.5,109.5,2
2004-01-17,WONTHELLA,premium_95,109.5,109.5,109.5,109.5,2
2004-01-18,WONTHELLA,premium_95,109.5,109.5,109.5,109.5,2
2004-01-19,WONTHELLA,premium_95,109.5,109.5,109.5,109.5,2
2004-01-20,WONTHELLA,premium_95,109.5,109.5,109.5,109.5,2
2004-01-21,WONTHELLA,premium_95,109.5,109.5,109.5,109.5,2
2004-01-22,WONTHELLA,premium_95,109.5,109.5,109.5,109.5,2
2004-01-23,WONTHELLA,premium_95,109.5,109.5,109.5,109.5,2
2004-01-24,WONTHELLA,premium_95,109.5,109.5,109.5,109.5,2
2004-01-25,WONTHELLA,premium_95,109.5,109.5,109.5,109.5,2
2004-01-26,WONTHELLA,premium_95,109.5,109.5,109.5,109.5,2
2004-01-27,WONTHELLA,premium_95,109.5,109.5,109.5,109.5,2
2004-01-28,WONTHELLA,premium_95,109.5,109.5,109.5,109.5,2
2004-01-29,WONTHELLA,premium_95,109.5,109.5,109.5,109.5,2
2004-01-30,WONTHELLA,premium_95,109.5,109.5,109.5,109.5,2
2004-01-31,WONTHELLA,premium_95,109.5,109.5,109.5,109.5,2
2004-02-01,WONTHELLA,premium_95,109.5,109.5,109.5,109.5,2
2004-02-02,WONTHELLA,premium_95,109.5,109.5,109.5,109.5,2
2004-02-03,WONTHELLA,premium_95,109.5,109.5,109.5,109.5,2
2004-02-04,WONTHELLA,premium_95,109.5,109.5,109.5,109.5,2
2004-02-05,WONTHELLA,premium_95,109.5,109.5,109.5,109.5,2
2004-02-06,WONTHELLA,premium_95,109.5,109.5,109.5,109.5,2
2004-02-07,WONTHELLA,premium_95,109.5,109.5,109.5,109.5,2
2004-02-08,WONTHELLA,premium_95,109.5,109.5,109.5,109.5,2
2004-02-09,WONTHELLA,premium_95,109.5,109.5,109.5,109.5,2
2004-02-10,WONTHELLA,premium_95,109.5,109.5,109.5,109.5,2
2004-02-11,WONTHELLA,premium_95,109.5,109.5,109.5,109.5,2
2004-02-12,WONTHELLA,premium_95,109.5,109.5,109.5,109.5,2
2004-02-13,WONTHELLA,premium_95,109.5,109.5,109.5,109.5,2
